Date,Firm,To Grade,From Grade,Action
2013-12-09,CRT Capital,Buy,,init
2013-12-09,Deutsche Bank,Buy,,init
2013-12-18,UBS,Neutral,,init
2013-12-19,Evercore Partners,Equal-Weight,,init
2014-01-29,Bank of America,Neutral,Underperform,up
2014-01-29,Deutsche Bank,Buy,,main
2014-02-03,Morgan Stanley,Overweight,,init
2014-03-24,Morgan Stanley,Overweight,,main
2014-04-07,Goldman Sachs,Buy,,init
2014-04-17,Barclays,Equal-Weight,,main
2014-04-25,Deutsche Bank,Buy,,main
2014-04-25,CRT Capital,Buy,,main
2014-04-25,Imperial Capital,Outperform,,main
2014-04-28,Bank of America,Neutral,,main
2014-04-29,Bank of America,Neutral,,main
2014-05-01,JP Morgan,Overweight,,main
2014-05-05,Stifel Nicolaus,Buy,,init
2014-07-10,CRT Capital,Buy,,main
2014-07-11,Barclays,Equal-Weight,,main
2014-07-16,Atlantic Equities,Overweight,,init
2014-07-25,Deutsche Bank,Buy,,main
2014-07-28,CRT Capital,Buy,,main
2014-09-09,Credit Suisse,Outperform,,init
2014-10-24,CRT Capital,Buy,,main
2014-10-24,Credit Suisse,Outperform,,main
2014-12-01,Bank of America,Buy,Neutral,up
2014-12-02,Credit Suisse,Outperform,,main
2014-12-10,Barclays,Overweight,Equal-weight,up
2015-01-16,Barclays,Overweight,,main
2015-01-28,Credit Suisse,Neutral,Outperform,down
2015-02-24,Cowen & Co.,Market Perform,Outperform,down
2015-04-01,Deutsche Bank,Hold,Buy,down
2015-06-03,Bank of America,Neutral,Buy,down
2015-06-09,Imperial Capital,Outperform,,main
2015-06-10,Deutsche Bank,Hold,,main
2015-06-10,JP Morgan,Overweight,,main
2015-06-18,Barclays,Overweight,,main
2015-07-27,Barclays,Overweight,,main
2015-09-01,Deutsche Bank,Buy,Hold,up
2015-09-02,Imperial Capital,Outperform,,main
2015-10-12,Deutsche Bank,Buy,,main
2015-10-13,Evercore ISI Group,Hold,Buy,down
2015-12-21,Deutsche Bank,Buy,,main
2016-01-07,Credit Suisse,Outperform,Neutral,up
2016-01-27,UBS,Buy,Neutral,up
2016-02-01,Cowen & Co.,Outperform,Market Perform,up
2016-02-04,JP Morgan,Overweight,,main
2016-03-24,Raymond James,Outperform,Market Perform,up
2016-03-24,Stifel Nicolaus,Buy,,main
2016-03-29,Stephens & Co.,Equal-Weight,,init
2016-04-01,Deutsche Bank,Hold,Buy,down
2016-04-08,Deutsche Bank,Hold,,main
2016-04-12,Credit Suisse,Outperform,,main
2016-04-28,Morgan Stanley,Overweight,Equal-Weight,up
2016-06-16,Bank of America,Underperform,,down
2016-07-06,Credit Suisse,Underperform,Outperform,down
2016-07-12,Deutsche Bank,Buy,Hold,up
2016-07-25,Deutsche Bank,Buy,,main
2016-07-25,Credit Suisse,Underperform,,main
2016-07-27,JP Morgan,Overweight,,main
2016-08-26,Imperial Capital,In-Line,,init
2016-09-21,Raymond James,Market Perform,Outperform,down
2016-10-11,Bernstein,Underperform,,init
2016-10-12,Stifel,Buy,,main
2016-10-21,Wolfe Research,Outperform,,main
2016-10-21,Imperial Capital,In-Line,,main
2016-11-18,Citigroup,Buy,,init
2016-12-15,Barclays,Equal-Weight,,init
2017-01-04,Cowen & Co.,Market Perform,Outperform,down
2017-02-06,Bernstein,Market Perform,Underperform,up
2017-03-22,Morgan Stanley,Equal-Weight,Overweight,down
2017-04-27,JP Morgan,Neutral,Overweight,down
2017-06-20,Atlantic Equities,Underweight,,init
2017-07-13,Citigroup,Buy,,main
2017-07-17,Morgan Stanley,Equal-Weight,,main
2017-07-31,Cowen & Co.,Outperform,Market Perform,up
2017-08-01,JP Morgan,Overweight,Neutral,up
2017-08-17,Morgan Stanley,Equal-Weight,,main
2017-09-13,Citigroup,Buy,,main
2017-09-15,JP Morgan,Neutral,Overweight,down
2017-09-18,Morgan Stanley,Equal-Weight,,main
2017-09-20,Raymond James,Outperform,Market Perform,up
2017-09-22,Barclays,Overweight,Equal-Weight,up
2017-09-26,Macquarie,Neutral,,init
2017-10-02,Morgan Stanley,Equal-Weight,,main
2017-10-10,Bank of America,Underperform,,main
2017-10-27,Buckingham,Buy,,main
2017-11-01,JP Morgan,Overweight,Neutral,up
2017-11-13,Morgan Stanley,Equal-Weight,,main
2018-01-09,Bank of America,Buy,Underperform,up
2018-01-26,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-01-26,Buckingham,Buy,Buy,main
2018-01-31,Bernstein,Outperform,Market Perform,up
2018-02-23,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-04-12,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-05-29,Citigroup,Buy,Buy,main
2018-06-01,Imperial Capital,Outperform,In-Line,up
2018-06-13,Buckingham,Buy,Buy,main
2018-07-03,Deutsche Bank,Hold,Buy,down
2018-07-12,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-07-16,Barclays,Overweight,Overweight,main
2018-07-16,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-07-17,Buckingham,Buy,Buy,main
2018-07-30,Macquarie,Outperform,Neutral,up
2018-09-27,Imperial Capital,Outperform,Outperform,main
2018-10-10,Imperial Capital,Outperform,Outperform,main
2018-10-10,Citigroup,Buy,Buy,main
2018-10-10,Bank of America,Buy,Buy,main
2018-10-10,Buckingham,Buy,Buy,main
2018-10-11,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-10-16,Raymond James,Outperform,Outperform,main
2018-10-16,Imperial Capital,Outperform,Outperform,main
2018-10-17,Deutsche Bank,Buy,Hold,up
2018-11-12,Goldman Sachs,Buy,,init
2018-11-14,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-11-19,Credit Suisse,Neutral,,init
2018-11-29,Citigroup,Buy,Buy,main
2019-01-09,Imperial Capital,Outperform,Outperform,main
2019-02-08,Argus,Hold,,init
2019-03-01,Deutsche Bank,Hold,Buy,down
2019-03-08,Citigroup,Buy,Buy,main
2019-04-29,Deutsche Bank,Buy,Hold,up
2019-05-20,Barclays,Overweight,,main
2019-05-20,Morgan Stanley,Underweight,Equal-Weight,down
2019-05-20,Morgan Stanley,Underweight,Equal-Weight,down
2019-07-08,Credit Suisse,Underperform,Neutral,down
2019-07-11,Buckingham Research,Buy,,main
2019-09-06,Berenberg,Buy,,init
2019-09-10,Morgan Stanley,Underweight,,main
