Date,Firm,To Grade,From Grade,Action
2013-03-11,Bank of America,Buy,,main
2013-04-01,BMO Capital,Market Perform,Outperform,down
2013-04-05,BMO Capital,Market Perform,,main
2013-04-09,Goldman Sachs,Buy,,main
2013-04-10,Jefferies,Buy,,main
2013-04-10,UBS,Neutral,,main
2013-04-22,Morgan Stanley,Overweight,Equal-Weight,up
2013-04-29,BMO Capital,Market Perform,,main
2013-05-15,Cowen & Co.,Outperform,,init
2013-05-28,Jefferies,Buy,,main
2013-06-07,Jefferies,Buy,,main
2013-08-12,Argus,Buy,,init
2013-10-08,Credit Suisse,Outperform,,init
2013-10-25,BMO Capital,Outperform,Market Perform,up
2013-12-19,Morgan Stanley,Equal-weight,Overweight,down
2013-12-31,Bank of America,Buy,,main
2014-01-27,Morgan Stanley,Equal-Weight,,main
2014-02-21,Bank of America,Buy,,main
2014-04-14,Jefferies,Buy,,main
2014-04-24,Bank of America,Buy,,main
2014-05-07,Morgan Stanley,Overweight,Equal-weight,up
2014-06-20,Credit Suisse,Outperform,,main
2014-07-02,Barclays,Overweight,Equal-weight,up
2014-07-14,Jefferies,Buy,,main
2014-07-18,Jefferies,Buy,,main
2014-07-28,UBS,Buy,Neutral,up
2014-08-06,Credit Suisse,Outperform,,main
2014-10-02,Guggenheim,Buy,,init
2014-10-17,ISI Group,Buy,,init
2014-11-03,JP Morgan,Overweight,,main
2014-11-04,Jefferies,Buy,,main
2014-11-14,Deutsche Bank,Outperform,,init
2014-12-04,Jefferies,Buy,,main
2014-12-11,Morgan Stanley,Equal-Weight,Overweight,down
2015-01-09,Bank of America,Neutral,Buy,down
2015-01-15,Jefferies,Buy,,main
2015-01-16,Barclays,Overweight,,main
2015-02-03,Jefferies,Buy,,main
2015-02-09,Citigroup,Sell,,init
2015-04-13,BMO Capital,Outperform,Market Perform,up
2015-04-24,BMO Capital,Outperform,,main
2015-06-08,Jefferies,Buy,,main
2015-06-16,PiperJaffray,Overweight,,init
2015-07-22,SunTrust Robinson Humphrey,Buy,,init
2015-07-29,Deutsche Bank,Buy,,main
2015-09-28,Citigroup,,Neutral,up
2015-11-02,Morgan Stanley,Overweight,Equal-Weight,up
2015-12-01,Barclays,Equal-Weight,Overweight,down
2015-12-18,Atlantic Equities,Neutral,,init
2016-01-14,Jefferies,Buy,,main
2016-02-05,William Blair,Outperform,,init
2016-02-23,Citigroup,Buy,Neutral,up
2016-03-07,Goldman Sachs,Buy,,main
2016-03-15,Deutsche Bank,Hold,,init
2016-04-06,Societe Generale,Sell,,init
2016-06-06,Cowen & Co.,Market Perform,Outperform,down
2016-06-08,Morgan Stanley,Equal-Weight,Overweight,down
2016-06-10,BMO Capital,Market Perform,Outperform,down
2016-09-02,Raymond James,Outperform,,init
2016-09-08,JP Morgan,Neutral,Overweight,down
2016-10-18,Leerink Swann,Market Perform,,init
2016-10-31,Credit Suisse,Neutral,Outperform,down
2016-11-28,Citigroup,Neutral,Buy,down
2017-03-10,Goldman Sachs,Buy,Buy,main
2017-07-17,Deutsche Bank,Hold,,main
2017-07-17,Jefferies,Buy,,main
2017-08-17,Evercore ISI Group,Outperform,,init
2017-09-15,Jefferies,Buy,,main
2017-09-25,UBS,Neutral,Buy,down
2017-10-02,Leerink Swann,Outperform,Market Perform,up
2017-10-02,Leerink Swann,Outperform,,main
2017-10-05,Leerink Swann,Outperform,,main
2017-10-11,Cowen & Co.,Outperform,Market Perform,up
2017-10-13,Barclays,Equal-Weight,,main
2017-10-13,UBS,Neutral,,main
2017-10-30,Leerink Swann,Outperform,,main
2017-11-16,BMO Capital,Market Perform,,main
2018-01-29,Leerink Swann,Market Perform,Outperform,down
2018-01-30,BMO Capital,Underperform,Market Perform,down
2018-01-30,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-02-02,Argus,Buy,,main
2018-03-23,BMO Capital,Underperform,Underperform,main
2018-04-05,Barclays,Equal-Weight,Equal-Weight,main
2018-04-27,Credit Suisse,Neutral,Neutral,main
2018-04-30,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-05-23,BMO Capital,Underperform,Underperform,main
2018-05-30,Credit Suisse,Underperform,Neutral,down
2018-06-01,PiperJaffray,Neutral,Overweight,down
2018-06-11,Argus,Buy,Buy,main
2018-07-12,Berenberg,Hold,,init
2018-07-30,Bank of America,Buy,Buy,main
2018-08-22,Bank of America,Buy,Buy,main
2018-10-04,Bank of America,Buy,Buy,main
2018-11-05,BMO Capital,Underperform,Underperform,main
2018-11-06,Argus,Buy,Buy,main
2018-12-26,Standpoint Research,Buy,,init
2019-01-03,Bank of America,Neutral,Buy,down
2019-04-29,BMO Capital,Market Perform,Underperformer,up
2019-05-28,Goldman Sachs,Neutral,,init
2019-06-26,SVB Leerink,Outperform,Market Perform,up
2019-08-20,Piper Jaffray,Overweight,Neutral,up
2019-09-04,Piper Jaffray,Overweight,,main
2019-09-12,UBS,Buy,Neutral,up
2019-09-26,Citigroup,Buy,Neutral,up
2019-11-19,UBS,Buy,,main
2019-11-20,Citi,Buy,,main
2019-12-26,Cowen & Co.,Outperform,,main
2020-02-06,Mizuho,Buy,,init
2020-02-10,Mizuho,Buy,,main
2020-02-18,Cowen & Co.,Outperform,,main
2020-02-27,Barclays,Equal-Weight,,init
2020-03-23,Societe Generale,Hold,Buy,down
2020-04-13,UBS,Buy,,main
2020-04-20,RBC Capital,Outperform,Sector Perform,up
2020-05-04,SVB Leerink,Outperform,,main
2020-05-11,SVB Leerink,Outperform,,main
2020-05-12,JP Morgan,Overweight,Neutral,up
2020-06-02,Argus Research,Buy,Hold,up
2020-06-23,Atlantic Equities,Overweight,Neutral,up
2020-08-03,RBC Capital,Outperform,,main
2020-08-03,Mizuho,Buy,,main
2020-08-20,Morgan Stanley,Overweight,,main
2020-09-02,Citigroup,Buy,,main
2020-09-29,Berenberg,Hold,,init
2020-10-16,JP Morgan,Overweight,,main
2020-10-23,Truist Securities,Buy,,init
2020-11-02,SVB Leerink,Outperform,,main
2020-11-10,Bernstein,Outperform,,init
2020-11-18,BMO Capital,Outperform,,init
2020-11-30,Morgan Stanley,Overweight,,main
2020-12-16,SVB Leerink,Outperform,,main
2021-01-28,Morgan Stanley,Overweight,,main
2021-02-04,SVB Leerink,Outperform,,main
2021-03-30,SVB Leerink,Outperform,,main
2021-05-03,BMO Capital,Outperform,,main
2021-08-02,Mizuho,Buy,,main
2021-08-02,SVB Leerink,Outperform,,main
2021-08-20,SVB Leerink,Outperform,,main
2021-11-01,SVB Leerink,Outperform,,main
2021-11-01,Barclays,Equal-Weight,,main
2021-11-01,Morgan Stanley,Overweight,,main
2021-11-23,Societe Generale,Buy,Hold,up
2021-12-09,Wells Fargo,Overweight,,init
