Date,Firm,To Grade,From Grade,Action
2012-04-23,Jefferies,Buy,,main
2012-05-17,PiperJaffray,Overweight,,main
2012-05-17,Wunderlich,Buy,,main
2012-09-25,Sidoti & Co.,Buy,,init
2012-11-01,Jefferies,Buy,,main
2012-11-08,Raymond James,Market Perform,,init
2012-11-29,Wunderlich,Buy,,main
2013-03-14,William Blair,Outperform,,init
2013-04-09,PiperJaffray,Neutral,Overweight,down
2013-10-01,Benchmark,Speculative Buy,,init
2013-10-08,Benchmark,Buy,Speculative Buy,up
2013-11-07,Jefferies,Buy,,main
2014-01-10,Wunderlich,Buy,,main
2014-02-20,BTIG Research,Neutral,,init
2014-03-21,BTIG Research,Buy,Neutral,up
2014-03-24,Leerink Swann,Outperform,,init
2014-11-03,BTIG Research,Neutral,Buy,down
2015-01-05,Jefferies,Buy,,main
2015-01-28,Northland Securities,Market Perform,Underperform,up
2015-01-28,Jefferies,Buy,,main
2015-05-06,Leerink Swann,Outperform,,main
2015-08-18,Sterne Agee CRT,Buy,,init
2015-10-30,Raymond James,Outperform,Market Perform,up
2016-05-04,Leerink Swann,Outperform,,main
2016-07-29,Jefferies,Buy,,main
2016-08-09,Jefferies,Buy,,main
2016-12-07,Guggenheim,Buy,,init
2017-04-06,PiperJaffray,Overweight,Neutral,up
2017-07-10,Morgan Stanley,Equal-Weight,,main
2017-07-28,Leerink Swann,Outperform,,main
2017-09-29,SunTrust Robinson Humphrey,Buy,,init
2017-10-16,BTIG Research,Neutral,Buy,down
2018-02-02,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-04-04,Goldman Sachs,Buy,,init
2018-05-01,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-05-04,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-10-11,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-11-02,BTIG Research,Buy,Neutral,up
2018-11-07,Morgan Stanley,Overweight,Equal-Weight,up
2019-01-02,Morgan Stanley,Overweight,Overweight,main
2019-08-02,BTIG,Neutral,Buy,down
2019-08-02,Guggenheim,Neutral,Buy,down
2019-08-02,Morgan Stanley,Equal-Weight,Overweight,down
2019-10-29,Raymond James,Market Perform,Outperform,down
2019-12-17,Morgan Stanley,Equal-Weight,,main
2020-02-12,Morgan Stanley,Underweight,Equal-Weight,down
2020-03-23,Stephens & Co.,Overweight,,main
2020-03-27,Morgan Stanley,Underweight,,main
2020-04-27,SVB Leerink,Market Perform,Outperform,down
2020-05-01,SVB Leerink,Market Perform,,main
2020-05-01,Morgan Stanley,Underweight,,main
2020-05-28,SVB Leerink,Market Perform,,reit
2020-08-07,SVB Leerink,Market Perform,,main
2020-08-07,Morgan Stanley,Underweight,,main
2020-10-12,SVB Leerink,Market Perform,,main
2020-12-15,Morgan Stanley,Underweight,,main
2021-01-29,SVB Leerink,Market Perform,,main
2021-01-29,Morgan Stanley,Underweight,,main
2021-06-18,Deutsche Bank,Buy,,init
2021-07-20,SVB Leerink,Market Perform,,main
2021-08-06,SVB Leerink,Market Perform,,main
2022-01-07,Morgan Stanley,Underweight,,main
2022-02-04,SVB Leerink,Market Perform,,main
2022-02-04,Morgan Stanley,Underweight,,main
2022-04-06,Wolfe Research,Peer Perform,,init
