Date,Firm,To Grade,From Grade,Action
2012-03-01,UBS,Buy,,init
2012-05-02,UBS,Buy,,main
2012-05-02,Morgan Stanley,Underweight,,main
2012-05-25,Stifel Nicolaus,Buy,,main
2012-06-25,Barclays,Equal-Weight,Overweight,down
2012-07-06,Raymond James,Outperform,Strong Buy,down
2012-08-06,Jefferies,Hold,,main
2012-08-13,UBS,Buy,,main
2012-09-12,Jefferies,Underperform,Hold,down
2012-09-25,UBS,Neutral,Buy,down
2012-10-05,Goldman Sachs,Buy,Neutral,up
2012-10-05,Goldman Sachs,Buy,Neutral,up
2013-02-06,BMO Capital,Outperform,,main
2013-02-06,Credit Suisse,Outperform,,main
2013-03-07,BMO Capital,Outperform,,main
2013-05-06,Stifel Nicolaus,Buy,,main
2013-05-17,Bank of America,Buy,,main
2013-08-02,Susquehanna,Neutral,Positive,down
2013-08-14,JP Morgan,Neutral,,main
2013-09-24,RBC Capital,Sector Perform,Outperform,down
2013-10-31,BMO Capital,Outperform,,main
2013-12-05,Morgan Stanley,Equal-Weight,,init
2014-08-01,Raymond James,Outperform,,main
2014-08-13,JP Morgan,Neutral,,main
2014-09-15,Credit Suisse,Outperform,,main
2014-09-16,Bernstein,Market Perform,,init
2014-10-01,Credit Suisse,Outperform,,main
2014-10-09,Citigroup,Neutral,,main
2014-10-30,Deutsche Bank,Hold,,main
2014-10-30,Citigroup,Neutral,,main
2014-12-05,Stifel,Hold,Buy,down
2015-01-07,Credit Suisse,Neutral,Outperform,down
2015-01-16,Citigroup,Neutral,,main
2015-03-05,JP Morgan,Neutral,,main
2015-08-14,JP Morgan,Neutral,,main
2015-11-03,Argus,Buy,,main
2015-12-17,Sterne Agee CRT,Neutral,,init
2016-02-01,UBS,Buy,Neutral,up
2016-04-15,Compass Point,Sell,,init
2016-05-03,Argus,Buy,,main
2016-07-11,Bernstein,Outperform,Market Perform,up
2016-07-29,Citigroup,Neutral,,main
2016-08-01,Jefferies,Underperform,,main
2016-09-09,Wedbush,Neutral,,init
2016-12-20,Barclays,Overweight,,init
2017-06-02,Evercore ISI Group,Underperform,In-Line,down
