,2022-01-31,2021-01-31,2020-01-31,2019-01-31
Research Development,1080700000.0,899800000.0,851100000.0,725000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,564700000.0,546700000.0,294800000.0,-42700000.0
Minority Interest,,,,
Net Income,497000000.0,1208200000.0,214500000.0,-80800000.0
Selling General Administrative,2104600000.0,1874500000.0,1686600000.0,1507800000.0
Gross Profit,4021400000.0,3484900000.0,2984400000.0,2299400000.0
Ebit,742600000.0,642200000.0,373300000.0,33100000.0
Operating Income,742600000.0,642200000.0,373300000.0,33100000.0
Other Operating Expenses,,,,
Interest Expense,-65000000.0,-51100000.0,-54000000.0,-52100000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,67700000.0,-661500000.0,80300000.0,38100000.0
Total Revenue,4386400000.0,3790400000.0,3274300000.0,2569800000.0
Total Operating Expenses,3643800000.0,3148200000.0,2901000000.0,2536700000.0
Cost Of Revenue,365000000.0,305500000.0,289900000.0,270400000.0
Total Other Income Expense Net,-177900000.0,-95500000.0,-78500000.0,-75800000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,497000000.0,1208200000.0,214500000.0,-80800000.0
Net Income Applicable To Common Shares,497000000.0,1208200000.0,214500000.0,-80800000.0
