,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1152000000.0,1032000000.0,1016000000.0,1058000000.0
Minority Interest,129000000.0,142000000.0,142000000.0,142000000.0
Net Income,990000000.0,871000000.0,828000000.0,815000000.0
Selling General Administrative,-136000000.0,-116000000.0,-90000000.0,-70000000.0
Gross Profit,2991000000.0,2858000000.0,2743000000.0,2795000000.0
Ebit,1469000000.0,1416000000.0,1357000000.0,1427000000.0
Operating Income,1469000000.0,1416000000.0,1357000000.0,1427000000.0
Other Operating Expenses,512000000.0,483000000.0,481000000.0,483000000.0
Interest Expense,-383000000.0,-419000000.0,-381000000.0,-401000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,157000000.0,155000000.0,182000000.0,237000000.0
Total Revenue,6119000000.0,5540000000.0,5646000000.0,6009000000.0
Total Operating Expenses,4650000000.0,4124000000.0,4289000000.0,4582000000.0
Cost Of Revenue,3128000000.0,2682000000.0,2903000000.0,3214000000.0
Total Other Income Expense Net,-317000000.0,-384000000.0,-341000000.0,-369000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,995000000.0,877000000.0,834000000.0,821000000.0
Net Income Applicable To Common Shares,990000000.0,871000000.0,828000000.0,815000000.0
