,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,783000000.0,580800000.0,454700000.0,333500000.0
Minority Interest,,3400000.0,29300000.0,21900000.0
Net Income,1372400000.0,441800000.0,382600000.0,251000000.0
Selling General Administrative,,,,
Gross Profit,1161700000.0,933100000.0,862000000.0,767700000.0
Ebit,917200000.0,695500000.0,612900000.0,458100000.0
Operating Income,917200000.0,695500000.0,612900000.0,458100000.0
Other Operating Expenses,170700000.0,181500000.0,197300000.0,270600000.0
Interest Expense,-111800000.0,-104500000.0,-110600000.0,-100300000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,169500000.0,60400000.0,148300000.0,80900000.0
Total Revenue,10187600000.0,9589600000.0,9406100000.0,8000700000.0
Total Operating Expenses,9270400000.0,8894100000.0,8793200000.0,7542600000.0
Cost Of Revenue,9025900000.0,8656500000.0,8544100000.0,7233000000.0
Total Other Income Expense Net,-134200000.0,-114700000.0,-158200000.0,-124600000.0
Discontinued Operations,758900000.0,-77700000.0,80400000.0,80400000.0
Net Income From Continuing Ops,613500000.0,520400000.0,306400000.0,252600000.0
Net Income Applicable To Common Shares,1367700000.0,423100000.0,363900000.0,236800000.0
