,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,6448000000.0,6802000000.0,5443000000.0,2628000000.0
Minority Interest,-52000000.0,-52000000.0,-52000000.0,-52000000.0
Net Income,1599000000.0,5576000000.0,4847000000.0,2160000000.0
Selling General Administrative,6594000000.0,5443000000.0,5536000000.0,6062000000.0
Gross Profit,13969000000.0,13882000000.0,11577000000.0,9188000000.0
Ebit,6999000000.0,8321000000.0,5915000000.0,3021000000.0
Operating Income,6999000000.0,8321000000.0,5915000000.0,3021000000.0
Other Operating Expenses,,,,
Interest Expense,-330000000.0,-318000000.0,-327000000.0,-332000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,1289000000.0,1373000000.0,1116000000.0,468000000.0
Total Revenue,50588000000.0,41909000000.0,41541000000.0,39815000000.0
Total Operating Expenses,43589000000.0,33588000000.0,35626000000.0,36794000000.0
Cost Of Revenue,36619000000.0,28027000000.0,29964000000.0,30627000000.0
Total Other Income Expense Net,-551000000.0,-1519000000.0,-472000000.0,-393000000.0
Discontinued Operations,-3593000000.0,147000000.0,520000000.0,520000000.0
Net Income From Continuing Ops,5159000000.0,5429000000.0,4327000000.0,2160000000.0
Net Income Applicable To Common Shares,1485000000.0,5461000000.0,4678000000.0,2012000000.0
