,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,524000000.0,365400000.0,475200000.0,475200000.0
Minority Interest,3300000.0,3200000.0,3000000.0,3000000.0
Net Income,483000000.0,314300000.0,401800000.0,434900000.0
Selling General Administrative,663200000.0,631200000.0,684200000.0,631500000.0
Gross Profit,1204900000.0,1178800000.0,1252300000.0,1175000000.0
Ebit,541700000.0,547600000.0,568100000.0,543500000.0
Operating Income,541700000.0,547600000.0,568100000.0,543500000.0
Other Operating Expenses,,,,
Interest Expense,-50200000.0,-51100000.0,-56000000.0,-54000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,40700000.0,50900000.0,73100000.0,39800000.0
Total Revenue,2867400000.0,2719900000.0,2854000000.0,2731700000.0
Total Operating Expenses,2325700000.0,2172300000.0,2285900000.0,2188200000.0
Cost Of Revenue,1662500000.0,1541100000.0,1601700000.0,1556700000.0
Total Other Income Expense Net,-17700000.0,-182200000.0,-92900000.0,-68300000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,483300000.0,314500000.0,402100000.0,435400000.0
Net Income Applicable To Common Shares,483000000.0,314300000.0,401800000.0,434900000.0
