,2021-06-30,2020-06-30,2019-06-30,2018-06-30
Research Development,100000000.0,97000000.0,64000000.0,72700000.0
Effect Of Accounting Charges,,,,
Income Before Tax,1212000000.0,811000000.0,608000000.0,705400000.0
Minority Interest,57000000.0,61000000.0,65700000.0,68800000.0
Net Income,939000000.0,612000000.0,430000000.0,575200000.0
Selling General Administrative,1279000000.0,1283000000.0,815000000.0,784200000.0
Gross Profit,2732000000.0,2591000000.0,1799000000.0,1856800000.0
Ebit,1438000000.0,1246000000.0,1098000000.0,1042900000.0
Operating Income,1438000000.0,1246000000.0,1098000000.0,1042900000.0
Other Operating Expenses,-85000000.0,-35000000.0,-178000000.0,-43000000.0
Interest Expense,-157000000.0,-207000000.0,-208000000.0,-210000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,261000000.0,187000000.0,172000000.0,118800000.0
Total Revenue,12861000000.0,12468000000.0,9458000000.0,9319100000.0
Total Operating Expenses,11423000000.0,11222000000.0,8360000000.0,8276200000.0
Cost Of Revenue,10129000000.0,9877000000.0,7659000000.0,7462300000.0
Total Other Income Expense Net,-226000000.0,-435000000.0,-490000000.0,-337500000.0
Discontinued Operations,,-8000000.0,1000000.0,1000000.0
Net Income From Continuing Ops,951000000.0,624000000.0,436000000.0,586600000.0
Net Income Applicable To Common Shares,937000000.0,612000000.0,429000000.0,573900000.0
