,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,4819000000.0,4207000000.0,4116000000.0,3737000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,6701000000.0,8133000000.0,9138000000.0,9545000000.0
Minority Interest,,,,
Net Income,5893000000.0,7264000000.0,7842000000.0,8394000000.0
Selling General Administrative,5368000000.0,5730000000.0,5150000000.0,5332000000.0
Gross Profit,19525000000.0,19265000000.0,19006000000.0,19646000000.0
Ebit,9338000000.0,9328000000.0,9740000000.0,10551000000.0
Operating Income,9338000000.0,9328000000.0,9740000000.0,10551000000.0
Other Operating Expenses,,,,26000000.0
Interest Expense,-1197000000.0,-1038000000.0,-1289000000.0,-1392000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,808000000.0,869000000.0,1296000000.0,1151000000.0
Total Revenue,25979000000.0,25424000000.0,23362000000.0,23747000000.0
Total Operating Expenses,16641000000.0,16096000000.0,13622000000.0,13196000000.0
Cost Of Revenue,6454000000.0,6159000000.0,4356000000.0,4101000000.0
Total Other Income Expense Net,-2637000000.0,-1195000000.0,-602000000.0,-1006000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,5893000000.0,7264000000.0,7842000000.0,8394000000.0
Net Income Applicable To Common Shares,5893000000.0,7264000000.0,7842000000.0,8394000000.0
