,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,3350000000.0,1831000000.0,2232000000.0,2484000000.0
Minority Interest,,,,
Net Income,2760000000.0,1534000000.0,1893000000.0,2098000000.0
Selling General Administrative,3403000000.0,3116000000.0,3273000000.0,3152000000.0
Gross Profit,7588000000.0,5816000000.0,6325000000.0,6663000000.0
Ebit,4185000000.0,2700000000.0,3052000000.0,3511000000.0
Operating Income,4185000000.0,2700000000.0,3052000000.0,3511000000.0
Other Operating Expenses,,,,
Interest Expense,-803000000.0,-865000000.0,-1019000000.0,-1008000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,590000000.0,297000000.0,339000000.0,386000000.0
Total Revenue,13443000000.0,11958000000.0,12890000000.0,12924000000.0
Total Operating Expenses,9258000000.0,9258000000.0,9838000000.0,9413000000.0
Cost Of Revenue,5855000000.0,6142000000.0,6565000000.0,6261000000.0
Total Other Income Expense Net,-835000000.0,-869000000.0,-820000000.0,-1027000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,2760000000.0,1534000000.0,1893000000.0,2098000000.0
Net Income Applicable To Common Shares,2760000000.0,1534000000.0,1893000000.0,2098000000.0
