,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,2829400000.0,1821100000.0,1916400000.0,1154600000.0
Minority Interest,3988400000.0,687000000.0,1531500000.0,1568300000.0
Net Income,2567700000.0,1690600000.0,1887800000.0,1236400000.0
Selling General Administrative,811600000.0,778700000.0,730400000.0,733200000.0
Gross Profit,6674900000.0,5814300000.0,5363500000.0,5262300000.0
Ebit,3555800000.0,3166200000.0,2864400000.0,2742300000.0
Operating Income,3555800000.0,3166200000.0,2864400000.0,2742300000.0
Other Operating Expenses,-25100000.0,-12900000.0,-9700000.0,3500000.0
Interest Expense,-870900000.0,-793500000.0,-814200000.0,-825600000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,261800000.0,129600000.0,-200000.0,-110100000.0
Total Revenue,9356900000.0,8041500000.0,7580300000.0,7440100000.0
Total Operating Expenses,5801100000.0,4875300000.0,4715900000.0,4697800000.0
Cost Of Revenue,2682000000.0,2227200000.0,2216800000.0,2177800000.0
Total Other Income Expense Net,-726400000.0,-1345100000.0,-948000000.0,-1587700000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,2567600000.0,1691500000.0,1916600000.0,1264700000.0
Net Income Applicable To Common Shares,2567700000.0,1690600000.0,1887800000.0,1227000000.0
