,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,586752000.0,486594000.0,462759000.0,442468000.0
Effect Of Accounting Charges,,,,
Income Before Tax,930879000.0,738863000.0,862270000.0,288801000.0
Minority Interest,,,,
Net Income,840854000.0,634557000.0,859867000.0,328115000.0
Selling General Administrative,369288000.0,289008000.0,275805000.0,252562000.0
Gross Profit,1880779000.0,1481886000.0,1544338000.0,1373377000.0
Ebit,924739000.0,706284000.0,805774000.0,678347000.0
Operating Income,924739000.0,706284000.0,805774000.0,678347000.0
Other Operating Expenses,,,,
Interest Expense,,,,-2701000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,90025000.0,104306000.0,2403000.0,-39314000.0
Total Revenue,2948037000.0,2317512000.0,2410706000.0,2151369000.0
Total Operating Expenses,2023298000.0,1611228000.0,1604932000.0,1473022000.0
Cost Of Revenue,1067258000.0,835626000.0,866368000.0,777992000.0
Total Other Income Expense Net,6140000.0,32579000.0,56496000.0,-389546000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,840854000.0,634557000.0,859867000.0,328115000.0
Net Income Applicable To Common Shares,840854000.0,634557000.0,859444000.0,327926000.0
