,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,404870000.0,355371000.0,298210000.0,233802000.0
Effect Of Accounting Charges,,,,
Income Before Tax,515354000.0,493925000.0,522583000.0,487085000.0
Minority Interest,,,,
Net Income,454627000.0,433887000.0,451295000.0,419375000.0
Selling General Administrative,709336000.0,582578000.0,521200000.0,410054000.0
Gross Profit,1709493000.0,1496675000.0,1371329000.0,1164785000.0
Ebit,519312000.0,501485000.0,515040000.0,480100000.0
Operating Income,519312000.0,501485000.0,515040000.0,480100000.0
Other Operating Expenses,,,,
Interest Expense,-12405000.0,-10988000.0,-3461000.0,-59000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,60727000.0,60038000.0,71288000.0,67710000.0
Total Revenue,1906715000.0,1681297000.0,1515892000.0,1293636000.0
Total Operating Expenses,1387403000.0,1179812000.0,1000852000.0,813536000.0
Cost Of Revenue,197222000.0,184622000.0,144563000.0,128851000.0
Total Other Income Expense Net,-3958000.0,-7560000.0,7543000.0,6985000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,454627000.0,433887000.0,451295000.0,419375000.0
Net Income Applicable To Common Shares,454627000.0,433887000.0,451295000.0,419375000.0
