Date,Firm,To Grade,From Grade,Action
2015-01-06,Deutsche Bank,Buy,Hold,up
2015-01-08,Barclays,Equal-Weight,,main
2015-01-20,Jefferies,Buy,,main
2015-01-29,Jefferies,Buy,,main
2015-01-29,Credit Suisse,Neutral,,main
2015-03-20,Barclays,Equal-Weight,,main
2015-04-16,Oppenheimer,Outperform,,main
2015-04-30,Barclays,Equal-Weight,,main
2015-04-30,Jefferies,Buy,,main
2015-05-01,Oppenheimer,Outperform,,main
2015-05-22,Susquehanna,Positive,,main
2015-06-15,Cowen & Co.,Outperform,,main
2015-06-17,Morgan Stanley,Equal-Weight,,main
2015-06-24,RBC Capital,Outperform,,init
2015-07-27,Sterne Agee CRT,Buy,Neutral,up
2015-07-30,Cantor Fitzgerald,Hold,,main
2015-09-16,JP Morgan,Overweight,,init
2015-10-29,Barclays,Equal-Weight,,main
2016-01-08,Jefferies,Buy,,main
2016-01-20,Goldman Sachs,Buy,Neutral,up
2016-01-28,FBR Capital,Market Perform,,main
2016-01-28,Jefferies,Buy,,main
2016-04-04,Leerink Swann,Outperform,,main
2016-04-08,Cleveland Research,Buy,,init
2016-05-24,Sterne Agee CRT,Neutral,,down
2016-05-24,Sterne Agee CRT,Neutral,,down
2016-06-16,Bernstein,Outperform,,init
2016-07-28,Jefferies,Buy,,main
2016-07-28,Citigroup,Buy,,main
2016-07-28,Barclays,Equal-Weight,,main
2016-09-13,Jefferies,Hold,Buy,down
2016-09-23,Evercore ISI Group,Hold,,init
2016-10-17,JP Morgan,Neutral,Overweight,down
2016-11-15,Wells Fargo,Outperform,Market Perform,up
2016-11-22,Wolfe Research,Outperform,Peer Perform,up
2017-01-04,PiperJaffray,Neutral,,init
2017-01-04,Stifel Nicolaus,Hold,Buy,down
2017-04-05,Deutsche Bank,Hold,,init
2017-04-27,Cantor Fitzgerald,Overweight,Hold,up
2017-06-07,Morgan Stanley,Equal-Weight,,init
2017-07-12,Credit Suisse,Neutral,Neutral,init
2017-07-13,Deutsche Bank,Hold,,main
2017-07-14,Bank of America,Buy,,main
2017-08-17,Morgan Stanley,Equal-Weight,,main
2017-10-13,Jefferies,Hold,,main
2017-10-26,Morgan Stanley,Equal-Weight,,main
2017-11-02,Credit Suisse,Outperform,,init
2017-11-07,Leerink Swann,Outperform,,main
2017-11-17,Bank of America,Buy,,main
2018-01-03,PiperJaffray,Overweight,Neutral,up
2018-01-12,Jefferies,Buy,Hold,up
