,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1931000000.0,2466000000.0,1870000000.0,1246000000.0
Minority Interest,97000000.0,88000000.0,74000000.0,68000000.0
Net Income,1255000000.0,1969000000.0,1532000000.0,1134000000.0
Selling General Administrative,1603000000.0,1844000000.0,2226000000.0,2279000000.0
Gross Profit,5476000000.0,5174000000.0,4968000000.0,4668000000.0
Ebit,3547000000.0,2917000000.0,2178000000.0,1796000000.0
Operating Income,3547000000.0,2917000000.0,2178000000.0,1796000000.0
Other Operating Expenses,,,,
Interest Expense,-322000000.0,-334000000.0,-307000000.0,-278000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,623000000.0,448000000.0,297000000.0,146000000.0
Total Revenue,12193000000.0,11066000000.0,11013000000.0,10770000000.0
Total Operating Expenses,8646000000.0,8149000000.0,8835000000.0,8974000000.0
Cost Of Revenue,6717000000.0,5892000000.0,6045000000.0,6102000000.0
Total Other Income Expense Net,-1616000000.0,-451000000.0,-308000000.0,-550000000.0
Discontinued Operations,,,,74000000.0
Net Income From Continuing Ops,1308000000.0,2018000000.0,1573000000.0,1100000000.0
Net Income Applicable To Common Shares,1255000000.0,1969000000.0,1532000000.0,1134000000.0
