,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,625600000.0,443900000.0,472100000.0,557800000.0
Minority Interest,,,,
Net Income,487100000.0,344900000.0,370000000.0,444200000.0
Selling General Administrative,702000000.0,667200000.0,721000000.0,755200000.0
Gross Profit,1310900000.0,1108200000.0,1180700000.0,1305500000.0
Ebit,608900000.0,441000000.0,459700000.0,550300000.0
Operating Income,608900000.0,441000000.0,459700000.0,550300000.0
Other Operating Expenses,,,,
Interest Expense,-4300000.0,-7300000.0,-11000000.0,-8400000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,138500000.0,99000000.0,102100000.0,113600000.0
Total Revenue,3538900000.0,2895300000.0,2992700000.0,3187900000.0
Total Operating Expenses,2930000000.0,2454300000.0,2533000000.0,2637600000.0
Cost Of Revenue,2228000000.0,1787100000.0,1812000000.0,1882400000.0
Total Other Income Expense Net,16700000.0,2900000.0,12400000.0,7500000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,487100000.0,344900000.0,370000000.0,444200000.0
Net Income Applicable To Common Shares,487100000.0,344900000.0,370000000.0,444200000.0
