,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1891000000.0,-4840000000.0,-3008000000.0,958000000.0
Minority Interest,1590000000.0,1602000000.0,1765000000.0,1682000000.0
Net Income,973000000.0,-4860000000.0,-3553000000.0,40000000.0
Selling General Administrative,376000000.0,290000000.0,406000000.0,431000000.0
Gross Profit,5080000000.0,2714000000.0,4629000000.0,5627000000.0
Ebit,2966000000.0,-4396000000.0,-1244000000.0,1649000000.0
Operating Income,2966000000.0,-4396000000.0,-1244000000.0,1649000000.0
Other Operating Expenses,223000000.0,455000000.0,349000000.0,301000000.0
Interest Expense,-418000000.0,-434000000.0,-400000000.0,-406000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,578000000.0,64000000.0,674000000.0,672000000.0
Total Revenue,8025000000.0,4393000000.0,6354000000.0,7555000000.0
Total Operating Expenses,5059000000.0,8789000000.0,7598000000.0,5906000000.0
Cost Of Revenue,2945000000.0,1679000000.0,1725000000.0,1928000000.0
Total Other Income Expense Net,-1075000000.0,-444000000.0,-1764000000.0,-691000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1313000000.0,-4904000000.0,-3682000000.0,286000000.0
Net Income Applicable To Common Shares,973000000.0,-4860000000.0,-3553000000.0,40000000.0
