Date,Firm,To Grade,From Grade,Action
2021-03-11,Morgan Stanley,Overweight,Equal-Weight,up
2021-03-11,KeyBanc,Overweight,,main
2021-03-30,Truist Securities,Hold,Buy,down
2021-04-09,Keybanc,Overweight,,main
2021-04-19,Susquehanna,Positive,Neutral,up
2021-05-19,Morgan Stanley,Overweight,,main
2021-06-03,Keybanc,Overweight,,main
2021-06-03,Barclays,Equal-Weight,Overweight,down
2021-06-08,Johnson Rice,Buy,Accumulate,up
2021-06-18,Morgan Stanley,Overweight,,main
2021-06-21,Bernstein,Outperform,Market Perform,up
2021-06-25,JP Morgan,Neutral,Overweight,down
2021-07-21,Keybanc,Overweight,,main
2021-08-23,Morgan Stanley,Overweight,,main
2021-10-01,Citigroup,Neutral,Buy,down
2021-10-06,Morgan Stanley,Overweight,,main
2021-10-14,Keybanc,Overweight,,main
2021-10-19,Keybanc,Overweight,,main
2021-10-21,Keybanc,Overweight,,main
2021-10-26,Raymond James,Strong Buy,,main
2021-11-04,Truist Securities,Buy,Hold,up
2021-11-10,Keybanc,Overweight,,main
2021-11-10,MKM Partners,Buy,,main
2021-11-17,Scotiabank,Sector Outperform,Sector Perform,up
2021-11-30,Mizuho,Neutral,,main
2021-12-08,Barclays,Equal-Weight,,main
2022-01-03,Morgan Stanley,Overweight,,main
2022-01-06,Barclays,Equal-Weight,,main
2022-01-12,Keybanc,Overweight,,main
2022-01-20,Keybanc,Overweight,,main
2022-01-25,Raymond James,Strong Buy,,main
2022-01-25,Morgan Stanley,Overweight,,main
2022-02-24,Susquehanna,Positive,,main
2022-02-24,Raymond James,Strong Buy,,main
2022-03-03,Keybanc,Overweight,,main
2022-03-09,Keybanc,Overweight,,main
2022-03-10,Piper Sandler,Neutral,,main
2022-03-24,Keybanc,Overweight,,main
2022-03-31,Mizuho,Buy,Neutral,up
2022-04-04,Keybanc,Overweight,,main
2022-04-06,Truist Securities,Buy,,main
2022-04-07,Piper Sandler,Neutral,,main
2022-04-08,Keybanc,Overweight,,main
2022-04-22,Barclays,Overweight,,main
2022-04-22,Morgan Stanley,Overweight,,main
2022-04-25,Raymond James,Strong Buy,,main
