,2021-09-30,2020-09-30,2019-09-30,2018-09-30
Research Development,93500000.0,83900000.0,72900000.0,64500000.0
Effect Of Accounting Charges,,,,
Income Before Tax,2507400000.0,2423800000.0,2289500000.0,2015000000.0
Minority Interest,548300000.0,363300000.0,334700000.0,318800000.0
Net Income,2099100000.0,1886700000.0,1760000000.0,1497800000.0
Selling General Administrative,744600000.0,731000000.0,736100000.0,801200000.0
Gross Profit,3136900000.0,2998200000.0,2943400000.0,2740700000.0
Ebit,2354400000.0,2247200000.0,2183700000.0,1925200000.0
Operating Income,2354400000.0,2247200000.0,2183700000.0,1925200000.0
Other Operating Expenses,-55600000.0,-63900000.0,-49300000.0,-50200000.0
Interest Expense,-141800000.0,-109300000.0,-137000000.0,-130500000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,462800000.0,478400000.0,480100000.0,524300000.0
Total Revenue,10323000000.0,8856300000.0,8918900000.0,8930200000.0
Total Operating Expenses,7968600000.0,6609100000.0,6735200000.0,7005000000.0
Cost Of Revenue,7186100000.0,5858100000.0,5975500000.0,6189500000.0
Total Other Income Expense Net,153000000.0,176600000.0,105800000.0,89800000.0
Discontinued Operations,70300000.0,-14300000.0,-14300000.0,42200000.0
Net Income From Continuing Ops,2044600000.0,1945400000.0,1809400000.0,1490700000.0
Net Income Applicable To Common Shares,2099100000.0,1886700000.0,1760000000.0,1497800000.0
