,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,317700000.0,260700000.0,234200000.0,220900000.0
Effect Of Accounting Charges,,,,
Income Before Tax,1989200000.0,1526600000.0,1495900000.0,1588400000.0
Minority Interest,77100000.0,67000000.0,65900000.0,47200000.0
Net Income,1590800000.0,1203400000.0,1155000000.0,1205000000.0
Selling General Administrative,915600000.0,760300000.0,742100000.0,746000000.0
Gross Profit,3401800000.0,2664100000.0,2616000000.0,2654900000.0
Ebit,2168500000.0,1643100000.0,1639700000.0,1688000000.0
Operating Income,2168500000.0,1643100000.0,1639700000.0,1688000000.0
Other Operating Expenses,,,,
Interest Expense,-115500000.0,-115400000.0,-117600000.0,-101700000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,409100000.0,313300000.0,331900000.0,371500000.0
Total Revenue,10876300000.0,8598900000.0,8225400000.0,8202000000.0
Total Operating Expenses,8707800000.0,6955800000.0,6585700000.0,6514000000.0
Cost Of Revenue,7474500000.0,5934800000.0,5609400000.0,5547100000.0
Total Other Income Expense Net,-179300000.0,-116500000.0,-143800000.0,-99600000.0
Discontinued Operations,21400000.0,21400000.0,21400000.0,21400000.0
Net Income From Continuing Ops,1580100000.0,1213300000.0,1164000000.0,1216900000.0
Net Income Applicable To Common Shares,1590800000.0,1203400000.0,1155000000.0,1205000000.0
