Date,Firm,To Grade,From Grade,Action
2012-06-27,UBS,Neutral,,main
2012-07-02,Citigroup,Buy,,main
2012-07-19,Stifel Nicolaus,Buy,,main
2012-07-19,Deutsche Bank,Buy,,main
2012-07-19,UBS,Neutral,,main
2012-08-28,Bank of America,Neutral,Buy,down
2012-10-17,Deutsche Bank,Buy,,main
2012-10-18,Deutsche Bank,Buy,,main
2013-01-18,Deutsche Bank,Buy,,main
2013-02-21,UBS,Neutral,,main
2013-04-11,Jefferies,Hold,,init
2013-04-19,UBS,Neutral,,main
2013-05-22,Stifel Nicolaus,Hold,Buy,down
2013-07-22,Jefferies,Hold,,main
2013-09-19,Cantor Fitzgerald,Hold,,init
2013-10-08,SunTrust Robinson Humphrey,Neutral,,init
2014-01-22,Cross Research,Hold,Buy,down
2014-04-24,UBS,Neutral,,main
2014-04-24,Citigroup,Buy,,main
2014-04-24,Jefferies,Hold,,main
2014-07-24,Deutsche Bank,Buy,,main
2014-07-24,Macquarie,Outperform,,main
2014-09-02,UBS,Neutral,,main
2014-09-04,Macquarie,Outperform,,main
2014-09-10,Morgan Stanley,Equal-Weight,,init
2015-01-22,Jefferies,Hold,,main
2015-01-22,Deutsche Bank,Buy,,main
2015-11-16,Goldman Sachs,Buy,Neutral,up
2016-01-21,Deutsche Bank,Buy,,main
2016-01-21,SunTrust Robinson Humphrey,Neutral,,main
2016-03-14,Goldman Sachs,Neutral,Buy,down
2016-09-20,Goldman Sachs,Buy,Neutral,up
2017-07-06,Goldman Sachs,Neutral,Buy,down
2017-09-29,Bank of America,Buy,Neutral,up
2017-11-10,Wells Fargo,Outperform,,init
2017-12-13,Morgan Stanley,Equal-Weight,,main
2018-01-25,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-04-26,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-07-26,Stifel Nicolaus,Hold,Hold,main
2018-07-26,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-08-09,Morgan Stanley,Overweight,Equal-Weight,up
2018-10-03,Morgan Stanley,Overweight,Overweight,main
2018-10-09,Goldman Sachs,Buy,Neutral,up
2019-03-05,Morgan Stanley,Overweight,Overweight,main
2019-04-02,SunTrust Robinson Humphrey,Buy,Hold,up
2019-06-06,Evercore ISI Group,Outperform,,init
2019-06-10,Morgan Stanley,Overweight,,main
2019-06-17,Longbow Research,Neutral,Buy,down
2019-07-25,Morgan Stanley,Overweight,,main
2019-10-22,JP Morgan,Neutral,,init
2019-10-24,Wells Fargo,Outperform,,main
2019-12-16,Jefferies,Buy,,init
2019-12-17,RBC Capital,Sector Perform,,init
2019-12-18,Morgan Stanley,Overweight,,main
2020-01-21,Cross Research,Sell,Hold,down
2020-03-10,Morgan Stanley,Overweight,,main
2020-03-18,Morgan Stanley,Overweight,,main
2020-04-02,B of A Securities,Buy,,reit
2020-04-23,Wells Fargo,Overweight,,main
2020-04-23,JP Morgan,Neutral,,main
2020-06-16,Morgan Stanley,Overweight,,main
2020-06-23,Stifel,Hold,,main
2020-07-23,Morgan Stanley,Overweight,,main
2020-08-24,Morgan Stanley,Equal-Weight,Overweight,down
2020-09-16,UBS,Buy,,init
2020-10-20,Baird,Outperform,,init
2020-10-22,Morgan Stanley,Equal-Weight,,main
2020-12-14,Morgan Stanley,Equal-Weight,,main
2021-03-05,Morgan Stanley,Equal-Weight,,main
2021-03-08,Morgan Stanley,Equal-Weight,,main
2021-04-29,Morgan Stanley,Equal-Weight,,main
2021-04-29,Citigroup,Buy,,main
2021-07-29,Morgan Stanley,Equal-Weight,,main
2021-07-29,RBC Capital,Sector Perform,,main
2021-09-22,Jefferies,Buy,,main
2021-09-27,Goldman Sachs,Buy,,main
2021-10-28,Morgan Stanley,Equal-Weight,,main
2021-12-15,Morgan Stanley,Equal-Weight,,main
2022-01-07,Cowen & Co.,Market Perform,Outperform,down
2022-01-10,Goldman Sachs,Buy,,main
2022-01-27,Morgan Stanley,Equal-Weight,,main
2022-04-25,Morgan Stanley,Equal-Weight,,main
2022-04-28,Citigroup,Buy,,main
