,2021-09-30,2020-09-30,2019-09-30,2018-09-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,819299000.0,746796000.0,650309000.0,611144000.0
Minority Interest,,,,
Net Income,665563000.0,601443000.0,511406000.0,603064000.0
Selling General Administrative,19238000.0,3189000.0,-3016000.0,5770000.0
Gross Profit,1695754000.0,1532682000.0,1412703000.0,1352903000.0
Ebit,885760000.0,820910000.0,749074000.0,722164000.0
Operating Income,885760000.0,820910000.0,749074000.0,722164000.0
Other Operating Expenses,312779000.0,278755000.0,275189000.0,263886000.0
Interest Expense,-83554000.0,-84474000.0,-103153000.0,-106646000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,153736000.0,145353000.0,138903000.0,8080000.0
Total Revenue,3407490000.0,2821137000.0,2901848000.0,3115546000.0
Total Operating Expenses,2521730000.0,2000227000.0,2152774000.0,2393382000.0
Cost Of Revenue,1711736000.0,1288455000.0,1489145000.0,1762643000.0
Total Other Income Expense Net,-66461000.0,-74114000.0,-98765000.0,-111020000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,665563000.0,601443000.0,511406000.0,603064000.0
Net Income Applicable To Common Shares,665098000.0,600999000.0,510990000.0,602484000.0
