,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1010089000.0,824459000.0,799106000.0,974015000.0
Minority Interest,3934000.0,3268000.0,3901000.0,3244000.0
Net Income,1004299000.0,827630000.0,785974000.0,974525000.0
Selling General Administrative,70588000.0,57792000.0,67217000.0,61413000.0
Gross Profit,1455149000.0,1479342000.0,1559289000.0,1523717000.0
Ebit,625965000.0,714219000.0,830494000.0,831108000.0
Operating Income,625965000.0,714219000.0,830494000.0,831108000.0
Other Operating Expenses,,,,
Interest Expense,-220415000.0,-214151000.0,-203585000.0,-220974000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,5733000.0,-3247000.0,13003000.0,-160000.0
Total Revenue,2310130000.0,2302526000.0,2327490000.0,2289150000.0
Total Operating Expenses,1684165000.0,1588307000.0,1496996000.0,1458042000.0
Cost Of Revenue,854981000.0,823184000.0,768201000.0,765433000.0
Total Other Income Expense Net,384124000.0,110240000.0,-31388000.0,142907000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1004356000.0,827706000.0,786103000.0,974175000.0
Net Income Applicable To Common Shares,1002199000.0,825675000.0,783911000.0,971686000.0
