,2021-10-31,2020-11-01,2019-11-03,2018-11-04
Research Development,4854000000.0,4968000000.0,4696000000.0,3768000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,6765000000.0,2443000000.0,2226000000.0,4545000000.0
Minority Interest,,,,
Net Income,6736000000.0,2960000000.0,2724000000.0,12259000000.0
Selling General Administrative,1348000000.0,1932000000.0,1708000000.0,1027000000.0
Gross Profit,20288000000.0,17370000000.0,15874000000.0,13827000000.0
Ebit,8683000000.0,4250000000.0,4258000000.0,5487000000.0
Operating Income,8683000000.0,4250000000.0,4258000000.0,5487000000.0
Other Operating Expenses,,,,
Interest Expense,-1885000000.0,-1777000000.0,-1444000000.0,-628000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,29000000.0,-518000000.0,-510000000.0,-8084000000.0
Total Revenue,27450000000.0,23888000000.0,22597000000.0,20848000000.0
Total Operating Expenses,18767000000.0,19638000000.0,18339000000.0,15361000000.0
Cost Of Revenue,7162000000.0,6518000000.0,6723000000.0,7021000000.0
Total Other Income Expense Net,-1918000000.0,-1807000000.0,-2032000000.0,-942000000.0
Discontinued Operations,,-1000000.0,-12000000.0,-19000000.0
Net Income From Continuing Ops,6736000000.0,2961000000.0,2736000000.0,12629000000.0
Net Income Applicable To Common Shares,6437000000.0,2663000000.0,2695000000.0,12259000000.0
