,2022-01-01,2021-01-02,2019-12-28,2018-12-29
Research Development,136600000.0,112800000.0,92600000.0,98200000.0
Effect Of Accounting Charges,,,,
Income Before Tax,988700000.0,733600000.0,246900000.0,552800000.0
Minority Interest,,,,
Net Income,740100000.0,555900000.0,303600000.0,467400000.0
Selling General Administrative,1128400000.0,936900000.0,994400000.0,1015200000.0
Gross Profit,2312800000.0,1923300000.0,1904100000.0,1915500000.0
Ebit,1047800000.0,873600000.0,817100000.0,802100000.0
Operating Income,1047800000.0,873600000.0,817100000.0,802100000.0
Other Operating Expenses,,,,
Interest Expense,-70200000.0,-70000000.0,-75800000.0,-58500000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,248600000.0,177700000.0,-56700000.0,85400000.0
Total Revenue,8408300000.0,6971500000.0,7070100000.0,7159000000.0
Total Operating Expenses,7360500000.0,6097900000.0,6253000000.0,6356900000.0
Cost Of Revenue,6095500000.0,5048200000.0,5166000000.0,5243500000.0
Total Other Income Expense Net,-59100000.0,-140000000.0,-570200000.0,-249300000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,740100000.0,555900000.0,303600000.0,467400000.0
Net Income Applicable To Common Shares,740100000.0,555900000.0,303600000.0,467400000.0
