,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1640000000.0,924000000.0,833000000.0,787000000.0
Minority Interest,,,,
Net Income,1263000000.0,709000000.0,621000000.0,567000000.0
Selling General Administrative,-78000000.0,-49000000.0,-16000000.0,-20000000.0
Gross Profit,2153000000.0,2155000000.0,2066000000.0,1961000000.0
Ebit,1274000000.0,1297000000.0,1230000000.0,1159000000.0
Operating Income,1274000000.0,1297000000.0,1230000000.0,1159000000.0
Other Operating Expenses,321000000.0,303000000.0,270000000.0,277000000.0
Interest Expense,-403000000.0,-397000000.0,-386000000.0,-350000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,377000000.0,215000000.0,212000000.0,222000000.0
Total Revenue,3930000000.0,3777000000.0,3610000000.0,3440000000.0
Total Operating Expenses,2656000000.0,2480000000.0,2380000000.0,2281000000.0
Cost Of Revenue,1777000000.0,1622000000.0,1544000000.0,1479000000.0
Total Other Income Expense Net,366000000.0,-373000000.0,-397000000.0,-372000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1263000000.0,709000000.0,621000000.0,565000000.0
Net Income Applicable To Common Shares,1263000000.0,709000000.0,621000000.0,567000000.0
