Date,Firm,To Grade,From Grade,Action
2012-03-14,Guggenheim,Buy,,main
2012-03-23,Goldman Sachs,Buy,,main
2012-04-13,Citigroup,Buy,,main
2012-04-19,PiperJaffray,Neutral,,main
2012-04-19,JP Morgan,Neutral,,main
2012-04-19,Morgan Stanley,Equal-Weight,,main
2012-12-19,Evercore Partners,Equal-Weight,Overweight,down
2013-01-08,Edward Jones,Hold,Buy,down
2013-01-11,Credit Suisse,Underperform,,main
2013-01-14,Goldman Sachs,Neutral,Buy,down
2013-01-15,JP Morgan,Underweight,Neutral,down
2013-03-12,JP Morgan,Underweight,,main
2013-04-18,Barclays,Overweight,,main
2013-04-18,Jefferies,Hold,,main
2013-04-18,Credit Suisse,Underperform,,main
2013-05-30,Nomura,Buy,,main
2013-06-12,Oppenheimer,Perform,,init
2013-06-14,Barclays,Equal-Weight,Overweight,down
2013-07-15,Jefferies,Hold,,main
2013-07-16,JP Morgan,Underweight,,main
2013-07-17,Buckingham Research,Neutral,Buy,down
2013-07-18,Susquehanna,Neutral,Positive,down
2013-12-18,SunTrust Robinson Humphrey,Buy,,init
2013-12-19,SunTrust Robinson Humphrey,Buy,,init
2013-12-27,Susquehanna,Neutral,,main
2014-01-14,UBS,Neutral,,init
2014-01-17,Susquehanna,Positive,Neutral,up
2014-01-17,Buckingham Research,Buy,Neutral,up
2014-02-05,Janney Capital,Buy,Neutral,up
2014-02-10,Morgan Stanley,Overweight,Equal-weight,up
2014-04-17,Nomura,Buy,,main
2014-06-16,Pacific Crest,Sector Perform,,init
2014-07-09,Guggenheim,Buy,Neutral,up
2014-07-10,Barclays,Equal-Weight,,main
2014-07-10,Macquarie,Underperform,,init
2014-07-16,JP Morgan,Underweight,,main
2014-07-30,Macquarie,Underperform,,main
2014-10-16,JP Morgan,Neutral,Underperform,up
2014-10-20,Sandler O'Neil,Buy,Hold,up
2014-11-13,Deutsche Bank,Hold,,init
2014-12-09,Keefe Bruyette & Woods,Market Perform,,main
2014-12-18,Jefferies,Hold,,init
2015-01-07,Goldman Sachs,Buy,Neutral,up
2015-01-22,Barclays,Equal-Weight,,main
2015-01-22,Jefferies,Hold,,main
2015-02-13,JP Morgan,Neutral,,main
2015-02-13,Jefferies,Hold,,main
2015-02-13,Keefe Bruyette & Woods,Outperform,,main
2015-02-13,Deutsche Bank,Hold,,main
2015-02-13,Citigroup,Buy,,main
2015-02-13,Barclays,Equal-Weight,,main
2015-02-13,Bank of America,Underperform,Buy,down
2015-02-26,Deutsche Bank,Buy,Hold,up
2015-03-03,Macquarie,Underperform,Neutral,down
2015-03-06,Susquehanna,Positive,,main
2015-04-07,Oppenheimer,Underperform,Market Perform,down
2015-04-21,Citigroup,Buy,,main
2015-04-27,Nomura,Neutral,Buy,down
2015-05-06,Bernstein,Outperform,,main
2015-05-06,Bernstein,Outperform,Market Perform,up
2015-08-19,Evercore ISI Group,Hold,,init
2015-09-15,Susquehanna,Positive,,main
2015-10-13,Barclays,Equal-Weight,,main
2015-10-22,Credit Suisse,Underperform,,main
2015-10-26,UBS,Sell,Neutral,down
2015-12-22,JMP Securities,Market Perform,,init
2016-01-13,DA Davidson,Neutral,,init
2016-01-13,Goldman Sachs,Neutral,Buy,down
2016-01-19,Credit Suisse,Underperform,,main
2016-01-22,Keefe Bruyette & Woods,Market Perform,Outperform,down
2016-01-22,Credit Suisse,Underperform,,main
2016-01-22,Macquarie,Underperform,,main
2016-01-22,Credit Suisse,Underperform,,main
2016-01-22,UBS,Sell,,main
2016-01-22,Barclays,Equal-Weight,,main
2016-01-25,Argus,Hold,Buy,down
2016-01-25,Oppenheimer,Perform,Underperform,up
2016-01-25,Morgan Stanley,Equal-Weight,Overweight,down
2016-02-09,Deutsche Bank,Buy,,main
2016-02-11,Nomura,Neutral,,main
2016-04-15,Compass Point,Buy,,init
2016-04-21,Morgan Stanley,Equal-Weight,,main
2016-04-21,Macquarie,Underperform,,main
2016-04-21,Goldman Sachs,Neutral,,main
2016-04-21,Keefe Bruyette & Woods,Market Perform,,main
2016-04-22,Deutsche Bank,Hold,Buy,down
2016-06-07,Goldman Sachs,Neutral,,main
2016-10-06,Nomura,Reduce,Neutral,down
2016-10-20,Bank of America,Neutral,Underperform,up
2017-01-10,Oppenheimer,Outperform,Perform,up
2017-01-17,JP Morgan,Overweight,Neutral,up
2017-01-30,Keefe Bruyette & Woods,Outperform,Market Perform,up
2017-03-24,Tigress Financial,Neutral,,init
2017-04-25,Guggenheim,Buy,,up
