Date,Firm,To Grade,From Grade,Action
2012-02-29,UBS,Neutral,,main
2012-02-29,Citigroup,Buy,,main
2012-04-03,Goldman Sachs,Buy,,up
2012-04-24,JP Morgan,Overweight,,up
2012-05-18,Credit Suisse,Outperform,,up
2012-05-23,JP Morgan,Overweight,,main
2012-06-26,Deutsche Bank,Buy,Hold,up
2012-09-04,Goldman Sachs,Buy,,main
2012-09-20,Goldman Sachs,Buy,,main
2012-09-20,Deutsche Bank,Buy,,main
2012-12-05,Goldman Sachs,Buy,,main
2012-12-06,Oppenheimer,Perform,Outperform,down
2013-01-08,Morgan Stanley,Underperform,Equal-Weight,down
2013-01-24,Stifel,Buy,Hold,up
2013-02-27,Goldman Sachs,Buy,,main
2013-05-13,Deutsche Bank,Hold,Buy,down
2013-05-14,Barclays,Overweight,Overweight,main
2013-05-22,Stifel Nicolaus,Buy,,main
2013-10-14,Wedbush,Neutral,,init
2013-11-26,Goldman Sachs,Neutral,Buy,down
2013-12-10,Bank of America,Neutral,Buy,down
2013-12-11,Raymond James,Strong Buy,,main
2013-12-11,Deutsche Bank,Hold,,main
2013-12-11,Citigroup,Buy,,main
2014-01-21,Wolfe Research,Peer Perform,Outperform,down
2014-02-07,Bank of America,Neutral,,main
2014-03-05,Nomura,Buy,,main
2014-03-05,Barclays,Overweight,,main
2014-03-05,Deutsche Bank,Hold,,main
2014-03-05,Citigroup,Buy,,main
2014-03-05,JP Morgan,Overweight,,main
2014-04-04,Baird,Neutral,Outperform,down
2014-05-28,Gabelli & Co.,Buy,Hold,up
2014-06-04,Stifel,Buy,Hold,up
2014-06-24,Morgan Stanley,Equal-Weight,,init
2014-07-18,Stifel Nicolaus,Hold,Buy,down
2014-09-02,JP Morgan,Neutral,Overweight,down
2014-09-23,JP Morgan,Neutral,,main
2014-09-24,Nomura,Buy,,main
2014-09-25,Argus Capital,Hold,Buy,down
2014-09-30,William Blair,Market Perform,,init
2014-11-14,Sterne Agee,Underperform,,init
2014-12-10,Nomura,Buy,,main
2014-12-10,Credit Suisse,Outperform,,main
2014-12-10,UBS,Neutral,,main
2015-01-05,Citigroup,Buy,,main
2015-03-04,JP Morgan,Neutral,,main
2015-03-04,Barclays,Overweight,,main
2015-03-04,Sterne Agee,Neutral,Underperform,up
2015-03-05,Citigroup,Buy,,main
2015-03-10,Argus,Buy,Hold,up
2015-04-10,Barclays,Overweight,,main
2015-05-27,Gabelli & Co.,Hold,Buy,down
2015-05-27,JP Morgan,Neutral,,main
2015-05-27,Deutsche Bank,Hold,,main
2015-08-24,Bank of America,Buy,Neutral,up
2015-09-15,Jefferies,Hold,,init
2015-10-05,Oppenheimer,Outperform,Perform,up
2015-12-09,Deutsche Bank,Hold,,main
2016-02-09,Credit Suisse,Outperform,,main
2016-02-12,Oppenheimer,Outperform,,main
2016-02-16,Wedbush,Outperform,Neutral,up
2016-03-02,JP Morgan,Neutral,,main
2016-03-02,Credit Suisse,Outperform,,main
2016-03-22,Oppenheimer,Outperform,,main
2016-03-30,Barclays,Overweight,,init
2016-04-15,Gabelli & Co.,Buy,,init
2016-06-01,BTIG Research,Buy,,init
2016-08-25,Susquehanna,Neutral,,init
2016-09-12,UBS,Buy,Neutral,up
2016-09-23,Goldman Sachs,Neutral,,main
2016-09-27,Morgan Stanley,Overweight,Equal-Weight,up
2016-10-21,Credit Suisse,Outperform,,main
2016-12-07,Deutsche Bank,Hold,,main
2016-12-07,JP Morgan,Overweight,Neutral,up
2016-12-14,Atlantic Equities,Neutral,,init
2017-01-17,Guggenheim,Buy,,init
2017-05-24,Stephens & Co.,Equal-Weight,Overweight,down
2017-05-30,Goldman Sachs,Buy,Neutral,up
2017-05-30,Wedbush,Neutral,Outperform,down
2017-07-06,Morgan Stanley,Equal-Weight,Overweight,down
2017-07-07,Bank of America,Neutral,Buy,down
2017-11-29,UBS,Buy,Buy,main
2017-12-04,Moffett Nathanson,Neutral,,init
2017-12-06,Guggenheim,Neutral,Buy,down
2018-02-02,Argus,Buy,,main
