,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,33976000000.0,18995000000.0,32754000000.0,34584000000.0
Minority Interest,,,,
Net Income,31978000000.0,17894000000.0,27430000000.0,28147000000.0
Selling General Administrative,52761000000.0,48483000000.0,46742000000.0,46188000000.0
Gross Profit,93707000000.0,74208000000.0,85582000000.0,87738000000.0
Ebit,0.0,0.0,0.0,0.0
Operating Income,33976000000.0,18995000000.0,32754000000.0,34584000000.0
Other Operating Expenses,6970000000.0,6730000000.0,6086000000.0,6966000000.0
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,1998000000.0,1101000000.0,5324000000.0,6437000000.0
Total Revenue,93707000000.0,74208000000.0,85582000000.0,87738000000.0
Total Operating Expenses,59731000000.0,55213000000.0,52828000000.0,53154000000.0
Cost Of Revenue,0.0,0.0,0.0,0.0
Total Other Income Expense Net,0.0,0.0,0.0,0.0
Discontinued Operations,,,,
Net Income From Continuing Ops,31978000000.0,17894000000.0,27430000000.0,28147000000.0
Net Income Applicable To Common Shares,30557000000.0,16473000000.0,25998000000.0,26696000000.0
