Date,Firm,To Grade,From Grade,Action
2012-02-14,Citigroup,Neutral,,down
2012-02-27,UBS,Neutral,,main
2012-03-19,Morgan Stanley,Equal-Weight,,main
2012-03-30,Deutsche Bank,Hold,,main
2012-04-02,UBS,Neutral,,main
2012-04-10,JP Morgan,Overweight,,main
2012-04-11,Guggenheim,Buy,,up
2012-04-20,Citigroup,Neutral,,main
2012-05-22,Sterne Agee,Neutral,,main
2012-06-04,UBS,Neutral,,main
2012-07-11,Bernstein,Market Perform,,main
2012-07-18,ISI Group,Hold,,main
2012-09-17,Citigroup,Neutral,,main
2012-10-02,Drexel Hamilton,Buy,,init
2012-10-17,ISI Group,Hold,,main
2012-10-18,Nomura,Neutral,,main
2012-10-18,UBS,Neutral,,main
2012-10-18,Sterne Agee,Neutral,,main
2012-11-08,ISI Group,Buy,Hold,up
2012-11-19,Stifel Nicolaus,Buy,Hold,up
2012-12-07,SunTrust Robinson Humphrey,Neutral,,init
2013-01-03,Citigroup,Neutral,,main
2013-01-03,Nomura,Neutral,,main
2013-01-04,Deutsche Bank,Hold,,main
2013-01-07,Goldman Sachs,Neutral,,main
2013-01-07,ISI Group,Buy,,main
2013-01-08,JP Morgan,Overweight,,main
2013-01-09,Credit Suisse,Neutral,Outperform,down
2013-01-10,UBS,Neutral,,main
2013-01-11,Sandler O'Neill,Hold,Buy,down
2013-02-07,Rafferty,Buy,,init
2013-03-08,Edward Jones,Buy,Hold,up
2013-03-15,Scotiabank,Sector Outperform,Sector Perform,up
2013-04-18,Barclays,Equal-Weight,,main
2013-04-18,UBS,Neutral,,main
2013-04-18,Nomura,Neutral,,main
2013-04-23,Morgan Stanley,Overweight,Equal-Weight,up
2013-05-15,Deutsche Bank,Hold,,main
2013-05-20,Keefe Bruyette & Woods,Market Perform,Outperform,down
2013-06-07,Macquarie,Underperform,,init
2013-07-10,JP Morgan,Overweight,,main
2013-08-21,Credit Suisse,Neutral,,main
2013-09-19,Societe Generale,Buy,,init
2013-09-27,Guggenheim,Neutral,Buy,down
2013-10-17,Raymond James,Outperform,Strong Buy,down
2013-10-17,Baird,Neutral,,main
2013-11-05,Bernstein,Market Perform,,main
2013-12-03,Guggenheim,Neutral,,main
2014-01-02,Citigroup,Buy,Neutral,up
2014-01-08,Jefferies,Buy,,init
2014-01-09,Nomura,Buy,,init
2014-01-16,Raymond James,Outperform,,main
2014-03-24,Atlantic Equities,Neutral,Overweight,down
2014-04-17,Morgan Stanley,Overweight,,main
2014-04-17,Oppenheimer,Outperform,market perform,up
2014-04-17,Jefferies,Buy,,main
2014-04-24,Deutsche Bank,Hold,,main
2014-04-25,SunTrust Robinson Humphrey,Neutral,,main
2014-04-29,JP Morgan,Overweight,,main
2014-05-12,Portales Partners,Sector Perform,Underperform,up
2014-05-12,Jefferies,Buy,,main
2014-05-21,MKM Partners,Buy,,init
2014-06-19,JP Morgan,Overweight,,main
2014-07-02,Deutsche Bank,Buy,Hold,up
2014-09-03,Nomura,Neutral,Buy,down
2014-09-04,JP Morgan,Overweight,,main
2014-09-08,Goldman Sachs,Buy,Neutral,up
2014-10-02,UBS,Buy,Neutral,up
2014-10-16,FBR Capital,Outperform,Market Perform,up
2014-12-16,Guggenheim,Buy,,init
2015-01-05,Barclays,Equal-Weight,,main
2015-01-08,Credit Suisse,Overweight,,init
2015-01-16,Jefferies,Buy,,main
2015-02-27,UBS,Neutral,Buy,down
2015-03-02,Citigroup,Buy,,main
2015-03-13,Oppenheimer,Outperform,,main
2015-04-16,Oppenheimer,Outperform,,main
2015-04-16,Jefferies,Buy,,main
2015-04-16,BMO Capital,Outperform,,main
2015-04-16,Barclays,Equal-Weight,,main
2015-05-06,BMO Capital,Market Perform,Outperform,down
2015-05-28,Portales Partners,Sector Perform,Outperform,down
2015-07-16,Keefe Bruyette & Woods,Market Perform,,main
2015-07-20,Jefferies,Buy,,main
2015-07-20,RBC Capital,Outperform,,main
2015-08-24,Keefe Bruyette & Woods,Outperform,Market Perform,up
2015-08-25,Baird,Outperform,Neutral,up
2015-08-25,Macquarie,Neutral,Underperform,up
2015-08-25,Bernstein,Outperform,Neutral,up
2015-08-26,UBS,Buy,Neutral,up
2015-09-08,Nomura,Buy,Neutral,up
2015-10-06,Oppenheimer,Outperform,,main
2015-10-07,Jefferies,Buy,,main
2016-01-20,Sandler O'Neill,Buy,Hold,up
2016-01-20,Barclays,Equal-Weight,,main
2016-01-26,Deutsche Bank,Buy,,main
2016-01-29,CLSA,Outperform,,up
2016-02-25,Credit Suisse,Outperform,,main
2016-03-01,Atlantic Equities,Neutral,Overweight,down
2016-03-10,Keefe Bruyette & Woods,Outperform,,main
2016-04-07,JP Morgan,Overweight,,main
2016-04-17,Citigroup,Buy,,main
2016-05-16,Keefe Bruyette & Woods,Market Perform,Outperform,down
2016-07-07,Raymond James,Market Perform,Outperform,down
2016-07-13,Berenberg,Buy,,init
2016-07-19,Keefe Bruyette & Woods,Market Perform,,main
2016-07-19,Citigroup,Buy,,main
2016-09-23,CLSA,Outperform,,main
2016-10-10,Jefferies,Buy,,main
2016-10-11,Compass Point,Neutral,,init
2016-11-08,Deutsche Bank,Hold,Buy,down
2016-11-15,Guggenheim,Neutral,Buy,down
2016-11-16,Baird,Neutral,Outperform,down
2016-11-29,Keefe Bruyette & Woods,Outperform,Market Perform,up
2016-11-30,Deutsche Bank,Hold,,main
2016-12-01,Standpoint Research,Hold,Buy,down
2016-12-21,Atlantic Equities,Overweight,Neutral,up
2017-01-11,UBS,Neutral,,down
2017-01-12,Societe Generale,Buy,Hold,up
2017-02-16,Macquarie,Outperform,Neutral,up
2017-04-04,Citigroup,Neutral,Buy,down
2017-04-24,Berenberg,Hold,Buy,down
2017-07-10,Oppenheimer,Outperform,,main
2017-10-09,Citigroup,Neutral,,main
2017-10-10,Citigroup,Neutral,,main
2017-10-16,UBS,Neutral,,main
2017-10-16,BMO Capital,Market Perform,,main
2017-10-16,Nomura,Buy,,main
2017-11-01,JP Morgan,Overweight,,main
2018-02-02,Morgan Stanley,Overweight,Overweight,main
2018-03-16,Credit Suisse,Outperform,Outperform,main
2018-04-17,Barclays,Equal-Weight,Equal-Weight,main
2018-04-24,Citigroup,Neutral,Neutral,main
2018-10-16,BMO Capital,Market Perform,Market Perform,main
