,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,529000000.0,495000000.0,561000000.0,618000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,1477000000.0,1292000000.0,970000000.0,1617000000.0
Minority Interest,44000000.0,37000000.0,30000000.0,22000000.0
Net Income,1284000000.0,1102000000.0,1001000000.0,1546000000.0
Selling General Administrative,2630000000.0,2360000000.0,2442000000.0,2401000000.0
Gross Profit,5250000000.0,4733000000.0,4821000000.0,4811000000.0
Ebit,2091000000.0,1878000000.0,1822000000.0,1801000000.0
Operating Income,2091000000.0,1878000000.0,1822000000.0,1801000000.0
Other Operating Expenses,,,-4000000.0,-9000000.0
Interest Expense,-206000000.0,-153000000.0,-111000000.0,-93000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,182000000.0,182000000.0,-41000000.0,65000000.0
Total Revenue,12784000000.0,11673000000.0,11362000000.0,11099000000.0
Total Operating Expenses,10693000000.0,9795000000.0,9540000000.0,9298000000.0
Cost Of Revenue,7534000000.0,6940000000.0,6541000000.0,6288000000.0
Total Other Income Expense Net,-614000000.0,-586000000.0,-852000000.0,-184000000.0
Discontinued Operations,,,,-6000000.0
Net Income From Continuing Ops,1295000000.0,1110000000.0,1011000000.0,1552000000.0
Net Income Applicable To Common Shares,1284000000.0,1102000000.0,1001000000.0,1546000000.0
