Date,Firm,To Grade,From Grade,Action
2012-02-16,Standpoint Research,Hold,,down
2012-02-24,Citigroup,Neutral,,up
2012-02-28,UBS,Buy,,main
2012-03-05,Dougherty,Neutral,,main
2012-03-20,Morgan Stanley,Overweight,,main
2012-04-20,Deutsche Bank,Buy,,main
2012-04-20,UBS,Buy,,main
2012-04-20,Citigroup,Neutral,,main
2012-07-09,Citigroup,Neutral,,main
2012-07-20,Deutsche Bank,Buy,,main
2012-07-25,Goldman Sachs,Buy,,main
2012-09-19,BMO Capital,Outperform,,init
2012-09-24,Deutsche Bank,Hold,Buy,down
2012-10-01,JP Morgan,Overweight,,main
2012-10-10,Citigroup,Neutral,,main
2012-10-11,PiperJaffray,Overweight,,main
2012-11-15,Barclays,Equal-Weight,,main
2012-11-20,Stifel Nicolaus,Hold,,init
2012-11-26,JP Morgan,Overweight,,main
2012-11-26,Bank of America,Buy,,main
2012-11-27,Mizuho,Neutral,Buy,down
2012-12-20,Morgan Stanley,Overweight,,main
2013-01-04,Deutsche Bank,Hold,,main
2013-03-25,Morgan Stanley,Overweight,,main
2013-04-12,Deutsche Bank,Hold,,main
2013-04-15,PiperJaffray,Overweight,,main
2013-05-07,Barclays,Overweight,Equal-Weight,up
2013-05-14,Morgan Stanley,Overweight,,main
2013-05-16,Bank of America,Buy,,main
2013-07-10,Credit Suisse,Outperform,,init
2013-09-04,CL King,Buy,Neutral,up
2013-10-02,Credit Suisse,Neutral,Outperform,down
2013-10-18,Raymond James,Market Perform,Outperform,down
2013-10-18,Morgan Stanley,Equal-weight,Overweight,down
2013-10-23,Cowen & Co.,Market Perform,Outperform,down
2013-11-18,Credit Suisse,Outperform,Neutral,up
2014-01-07,RBC Capital,Sector Perform,Outperform,down
2014-01-07,RBC Capital,Sector Perform,Outperform,down
2014-01-24,Deutsche Bank,Hold,,main
2014-01-24,Deutsche Bank,Hold,,main
2014-01-24,BMO Capital,Outperform,,main
2014-01-27,Citigroup,Neutral,,main
2014-03-17,Goldman Sachs,Buy,,main
2014-07-15,Barclays,Overweight,,main
2014-07-18,JP Morgan,Neutral,,main
2014-09-17,JP Morgan,Neutral,,main
2014-10-06,Bank of America,Buy,,main
2014-10-13,Morgan Stanley,Equal-Weight,,main
2014-10-17,Credit Suisse,Outperform,,main
2014-10-17,Barclays,Overweight,,main
2015-02-18,JP Morgan,Neutral,,main
2015-04-20,JP Morgan,Neutral,,main
2015-04-24,BMO Capital,Outperform,,main
2015-05-19,Barclays,Overweight,,main
2015-06-24,Goldman Sachs,Buy,,init
2015-06-30,Credit Suisse,Neutral,,down
2015-07-02,Bank of America,Neutral,Buy,down
2015-07-02,Barclays,Overweight,,main
2015-07-07,BMO Capital,Market Perform,Outperform,down
2015-07-13,Deutsche Bank,Hold,,main
2015-07-30,Leerink Swann,Market Perform,Outperform,down
2015-08-11,Barclays,Overweight,,main
2015-10-28,Leerink Swann,Market Perform,,main
2016-02-03,BMO Capital,Market Perform,,main
2016-04-14,PiperJaffray,Overweight,Neutral,up
2016-04-25,Credit Suisse,Neutral,,main
2016-05-04,Evercore ISI Group,Buy,,init
2016-07-27,JP Morgan,Neutral,,main
2016-07-28,UBS,Neutral,,main
2016-09-15,Barclays,Overweight,,init
2016-10-13,Wells Fargo,Outperform,,init
2017-05-16,Goldman Sachs,Buy,,init
2017-06-30,Cantor Fitzgerald,Overweight,,init
2017-07-11,BMO Capital,Outperform,Market Perform,up
2017-07-25,Morgan Stanley,Equal-Weight,,main
2017-07-27,Barclays,Overweight,,main
2017-08-17,Citigroup,Neutral,,init
2017-10-26,Barclays,Overweight,,main
2017-10-26,Morgan Stanley,Equal-Weight,,main
2018-01-02,Bank of America,Buy,Neutral,up
2018-01-02,JP Morgan,Overweight,Neutral,up
2018-01-03,Evercore ISI Group,Outperform,,init
2018-01-03,Raymond James,Outperform,Market Perform,up
2018-02-02,Barclays,Overweight,Overweight,main
2018-02-02,BMO Capital,Outperform,Outperform,main
2018-02-06,Citigroup,Neutral,Neutral,main
2018-04-30,Citigroup,Neutral,Neutral,main
2018-04-30,Stifel Nicolaus,Hold,Hold,main
2018-05-22,Bank of America,Buy,Buy,main
2018-07-27,JP Morgan,Overweight,Overweight,main
2018-07-27,PiperJaffray,Overweight,Overweight,main
2018-07-31,Citigroup,Neutral,Neutral,main
2018-10-11,Morgan Stanley,Underweight,Underweight,main
2018-10-16,Barclays,Underweight,,init
2018-11-01,Wells Fargo,Outperform,Outperform,main
2018-11-01,BMO Capital,Outperform,Outperform,main
2018-11-01,Raymond James,Outperform,Outperform,main
2018-11-01,Leerink Swann,Outperform,Outperform,main
2018-11-02,Argus,Buy,Hold,up
2018-11-05,Morgan Stanley,Underweight,Underweight,main
2018-11-08,RBC Capital,Sector Perform,Sector Perform,main
2018-11-13,Citigroup,Neutral,Neutral,main
2018-11-28,UBS,Buy,,init
2018-12-04,Wells Fargo,Outperform,Outperform,main
2018-12-18,Credit Suisse,Outperform,,init
2019-01-02,Morgan Stanley,Overweight,Equal-Weight,up
2019-01-02,Citigroup,Buy,Neutral,up
2019-02-01,Barclays,Equal-Weight,Underweight,up
2019-03-05,Morgan Stanley,Overweight,Overweight,main
2019-04-03,Wells Fargo,Outperform,Outperform,main
2019-04-08,Evercore ISI Group,In-Line,Outperform,down
2019-04-15,Barclays,Equal-Weight,Equal-Weight,main
2019-06-26,Wells Fargo,Outperform,,main
2019-06-26,KeyBanc,Sector Weight,,init
2019-07-26,Credit Suisse,Outperform,,main
2019-10-28,UBS,Buy,,main
2019-12-17,Morgan Stanley,Equal-Weight,Overweight,down
2019-12-20,JP Morgan,Overweight,,main
2020-01-02,Evercore ISI Group,Outperform,In-Line,up
2020-01-16,Wells Fargo,Overweight,,main
2020-02-06,CFRA,Hold,,main
2020-02-13,Goldman Sachs,Buy,,init
