,2022-01-29,2021-01-30,2020-02-01,2019-02-02
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1423000000.0,1122000000.0,608000000.0,857000000.0
Minority Interest,1000000.0,1000000.0,4000000.0,4000000.0
Net Income,1333000000.0,844000000.0,-366000000.0,644000000.0
Selling General Administrative,1846000000.0,1462000000.0,597000000.0,4289000000.0
Gross Profit,3855000000.0,3350000000.0,2650000000.0,5749000000.0
Ebit,2009000000.0,1888000000.0,2053000000.0,1460000000.0
Operating Income,2009000000.0,1888000000.0,2053000000.0,1460000000.0
Other Operating Expenses,,,,
Interest Expense,-388000000.0,-432000000.0,-370000000.0,-385000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,348000000.0,257000000.0,148000000.0,213000000.0
Total Revenue,7882000000.0,6434000000.0,5405000000.0,13237000000.0
Total Operating Expenses,5873000000.0,4546000000.0,3352000000.0,11777000000.0
Cost Of Revenue,4027000000.0,3084000000.0,2755000000.0,7488000000.0
Total Other Income Expense Net,-586000000.0,-766000000.0,-1445000000.0,-603000000.0
Discontinued Operations,258000000.0,-21000000.0,-826000000.0,-826000000.0
Net Income From Continuing Ops,1075000000.0,865000000.0,460000000.0,644000000.0
Net Income Applicable To Common Shares,1333000000.0,844000000.0,-366000000.0,644000000.0
