,2022-01-29,2021-01-30,2020-02-01,2019-02-02
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,3028000000.0,2377000000.0,1993000000.0,1888000000.0
Minority Interest,,,,
Net Income,2454000000.0,1798000000.0,1541000000.0,1464000000.0
Selling General Administrative,8624000000.0,8009000000.0,7995000000.0,7979000000.0
Gross Profit,11634000000.0,10596000000.0,10048000000.0,9961000000.0
Ebit,3010000000.0,2587000000.0,2053000000.0,1959000000.0
Operating Income,3010000000.0,2587000000.0,2053000000.0,1959000000.0
Other Operating Expenses,,,,
Interest Expense,-25000000.0,-52000000.0,-64000000.0,-73000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,574000000.0,579000000.0,452000000.0,424000000.0
Total Revenue,51761000000.0,47262000000.0,43638000000.0,42879000000.0
Total Operating Expenses,48751000000.0,44675000000.0,41585000000.0,40920000000.0
Cost Of Revenue,40127000000.0,36666000000.0,33590000000.0,32918000000.0
Total Other Income Expense Net,18000000.0,-210000000.0,-60000000.0,-67000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,2454000000.0,1798000000.0,1541000000.0,1464000000.0
Net Income Applicable To Common Shares,2454000000.0,1798000000.0,1541000000.0,1464000000.0
