Date,Firm,To Grade,From Grade,Action
2012-03-28,UBS,Neutral,,main
2012-03-30,UBS,Neutral,,main
2012-03-30,Deutsche Bank,Hold,,main
2012-04-10,Bank of America,Underperform,,main
2012-04-16,UBS,Neutral,,main
2012-05-11,Credit Suisse,Neutral,,down
2012-05-18,Bank oferica,Underperform,,main
2012-05-21,UBS,Neutral,,main
2012-05-23,Goldman Sachs,Neutral,,main
2012-05-23,Citigroup,Sell,,main
2012-05-23,PiperJaffray,Neutral,,main
2012-05-23,Bank oferica,Underperform,,main
2012-05-23,JP Morgan,Neutral,,main
2012-06-11,UBS,Neutral,,main
2012-08-21,Citigroup,Neutral,,main
2012-08-21,PiperJaffray,Neutral,,main
2012-08-21,Oppenheimer,Perform,,main
2012-08-22,Jefferies,Hold,,main
2012-08-22,Deutsche Bank,Buy,,main
2012-08-22,UBS,Neutral,,main
2012-08-22,Wedbush,Underperform,Neutral,down
2012-08-22,Citigroup,Neutral,,main
2012-08-22,Barclays,Equal-Weight,,main
2012-08-24,Zacks Investment Research,Underperform,Neutral,down
2012-10-25,Barclays,Equal-Weight,,main
2012-10-25,UBS,Neutral,,main
2012-10-25,Jefferies,Hold,,main
2012-11-14,UBS,Neutral,,main
2012-11-19,UBS,Neutral,,main
2012-11-20,Deutsche Bank,Hold,,main
2012-11-21,Jefferies,Hold,,main
2012-11-21,Deutsche Bank,Hold,,main
2012-11-21,Barclays,Equal-Weight,,main
2012-11-21,UBS,Neutral,,main
2012-11-26,ValuEngine,Outperform,,init
2013-01-28,BB&T Capital,Buy,Hold,up
2013-02-19,Stifel Nicolaus,Buy,Hold,up
2013-02-19,Barclays,Overweight,Equal-weight,up
2013-02-19,Stifel,Buy,Hold,up
2013-02-26,UBS,Neutral,,main
2013-03-04,PiperJaffray,Neutral,,main
2013-03-05,Standpoint Research,Hold,Buy,down
2013-03-06,Jefferies,Buy,Hold,up
2013-03-11,PiperJaffray,Overweight,Neutral,up
2013-03-15,RBC Capital,Outperform,Sector Perform,up
2013-04-05,Stifel Nicolaus,Buy,,main
2013-04-18,Jefferies,Buy,,main
2013-04-30,RBC Capital,Outperform,,main
2013-04-30,Deutsche Bank,Buy,Hold,up
2013-05-14,Barclays,Overweight,Overweight,main
2013-05-22,Jefferies,Buy,,main
2013-05-31,Deutsche Bank,Buy,,main
2013-06-03,SunTrust Robinson Humphrey,Buy,Neutral,up
2013-08-14,Barclays,Overweight,,main
2013-08-20,B. Riley FBR,Buy,Neutral,up
2013-08-21,Stifel Nicolaus,Buy,,main
2013-08-21,Deutsche Bank,Buy,,main
2013-08-21,Jefferies,Buy,,main
2013-09-04,Bank of America,Neutral,Underperform,up
2013-10-16,Stifel Nicolaus,Buy,,main
2013-10-17,Oppenheimer,Outperform,Perform,up
2013-10-28,Deutsche Bank,Buy,,main
2013-11-01,Goldman Sachs,Buy,,main
2013-11-05,PiperJaffray,Overweight,,main
2013-11-11,UBS,Buy,Neutral,up
2013-11-14,Citigroup,Neutral,,main
2013-11-20,Citigroup,Buy,Neutral,up
2013-11-27,PiperJaffray,Overweight,,main
2014-01-16,Bank of America,Buy,,up
2014-01-16,Stifel Nicolaus,Buy,,main
2014-01-16,Oppenheimer,Market Perform,Outperform,down
2014-01-17,UBS,Neutral,Buy,down
2014-05-23,JP Morgan,Overweight,,main
2014-06-24,Morgan Stanley,Overweight,,init
2014-07-11,Citigroup,Buy,,main
2014-08-22,UBS,Neutral,,main
2014-09-19,Barclays,Overweight,,main
2014-11-12,Jefferies,Buy,,main
2014-11-17,Stifel Nicolaus,Buy,,main
2014-11-17,JP Morgan,Overweight,,main
2014-11-20,Credit Suisse,Outperform,,main
2014-11-20,Bank of America,Buy,,main
2014-11-21,JP Morgan,Overweight,,main
2014-11-21,Deutsche Bank,Buy,,main
2014-11-21,Citigroup,Buy,,main
2014-11-21,Telsey Advisory Group,Outperform,Market Perform,up
2014-11-21,Morgan Stanley,Overweight,,main
2015-01-05,Citigroup,Buy,,main
2015-01-07,Jefferies,Buy,,main
2015-01-13,Goldman Sachs,Buy,Neutral,up
2015-01-16,Jefferies,Buy,,main
2015-01-16,Citigroup,Buy,,main
2015-02-06,Oppenheimer,Outperform,Perform,up
2015-03-04,Wedbush,Neutral,Underperform,up
2015-03-04,Jefferies,Buy,,main
2015-03-04,JP Morgan,Overweight,,main
2015-03-04,Citigroup,Buy,,main
2015-04-24,JP Morgan,Neutral,Outperform,down
2015-07-17,Bank of America,Underperform,Buy,down
2015-08-26,UBS,Neutral,,main
2015-08-26,RBC Capital,Outperform,,main
2015-08-26,Jefferies,Buy,,main
2015-08-26,Telsey Advisory Group,Outperform,,main
2015-08-26,Jefferies,Buy,,main
2015-08-26,Morgan Stanley,Overweight,,main
2015-08-26,Raymond James,Strong Buy,Market Perform,up
2015-11-16,RBC Capital,Sector Perform,Outperform,down
2015-11-20,SunTrust Robinson Humphrey,Buy,,main
2016-01-15,Wedbush,Underperform,Neutral,down
2016-01-19,Morgan Stanley,Equal-Weight,Overweight,down
2016-02-12,Oppenheimer,Perform,Outperform,down
2016-02-19,Goldman Sachs,Neutral,Buy,down
2016-02-26,PiperJaffray,Neutral,Overweight,down
2016-02-26,RBC Capital,Sector Perform,,main
2016-03-15,Guggenheim,Neutral,,init
