,2021-09-30,2020-09-30,2019-09-30,2018-09-30
Research Development,1339000000.0,1096000000.0,1032000000.0,1004000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,2242000000.0,985000000.0,1176000000.0,1173000000.0
Minority Interest,,,,
Net Income,2092000000.0,874000000.0,1233000000.0,311000000.0
Selling General Administrative,4868000000.0,4318000000.0,4334000000.0,4029000000.0
Gross Profit,9576000000.0,7919000000.0,8288000000.0,7805000000.0
Ebit,3369000000.0,2520000000.0,2944000000.0,2772000000.0
Operating Income,3369000000.0,2520000000.0,2944000000.0,2772000000.0
Other Operating Expenses,,-15000000.0,-22000000.0,-22000000.0
Interest Expense,-469000000.0,-528000000.0,-639000000.0,-706000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,150000000.0,111000000.0,-57000000.0,862000000.0
Total Revenue,20248000000.0,17117000000.0,17290000000.0,15983000000.0
Total Operating Expenses,16879000000.0,14597000000.0,14346000000.0,13211000000.0
Cost Of Revenue,10672000000.0,9198000000.0,9002000000.0,8178000000.0
Total Other Income Expense Net,-1127000000.0,-1535000000.0,-1768000000.0,-1599000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,2092000000.0,874000000.0,1233000000.0,311000000.0
Net Income Applicable To Common Shares,2002000000.0,767000000.0,1081000000.0,159000000.0
