,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,2497000000.0,3984600000.0,2272800000.0,2597200000.0
Effect Of Accounting Charges,,,,
Income Before Tax,1780100000.0,5052800000.0,7046500000.0,5899600000.0
Minority Interest,63500000.0,-14200000.0,-4100000.0,-8000000.0
Net Income,1556100000.0,4000600000.0,5888500000.0,4430700000.0
Selling General Administrative,2680100000.0,2511500000.0,2358900000.0,2109100000.0
Gross Profit,8872000000.0,11639400000.0,12422500000.0,11636600000.0
Ebit,3435700000.0,4655300000.0,7275200000.0,6364100000.0
Operating Income,3435700000.0,4655300000.0,7275200000.0,6364100000.0
Other Operating Expenses,7200000.0,232900000.0,241600000.0,185000000.0
Interest Expense,-253600000.0,-213100000.0,-187400000.0,-200600000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,52500000.0,992300000.0,1158000000.0,1425600000.0
Total Revenue,10981700000.0,13444600000.0,14377900000.0,13452900000.0
Total Operating Expenses,7546000000.0,8789300000.0,7102700000.0,7088800000.0
Cost Of Revenue,2109700000.0,1805200000.0,1955400000.0,1816300000.0
Total Other Income Expense Net,-1655600000.0,397500000.0,-228700000.0,-464500000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1727600000.0,4060500000.0,5888500000.0,4474000000.0
Net Income Applicable To Common Shares,1556100000.0,4000600000.0,5888500000.0,4430700000.0
