,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,258357000.0,226598000.0,202710000.0,199196000.0
Effect Of Accounting Charges,,,,
Income Before Tax,5438149000.0,4907638000.0,2261081000.0,512659000.0
Minority Interest,,,,
Net Income,4245902000.0,3806267000.0,1758675000.0,365614000.0
Selling General Administrative,853174000.0,799967000.0,824625000.0,834783000.0
Gross Profit,1665661000.0,1437822000.0,1256996000.0,1227251000.0
Ebit,554130000.0,411257000.0,229661000.0,193272000.0
Operating Income,554130000.0,411257000.0,229661000.0,193272000.0
Other Operating Expenses,,,,
Interest Expense,-1551000.0,-21861000.0,-23416000.0,-23962000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,1192247000.0,1101371000.0,502406000.0,147045000.0
Total Revenue,2922545000.0,2545626000.0,2311659000.0,2289415000.0
Total Operating Expenses,2368415000.0,2134369000.0,2081998000.0,2096143000.0
Cost Of Revenue,1256884000.0,1107804000.0,1054663000.0,1062164000.0
Total Other Income Expense Net,4884019000.0,4496381000.0,2031420000.0,319387000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,4245902000.0,3806267000.0,1758675000.0,365614000.0
Net Income Applicable To Common Shares,4245902000.0,3806267000.0,1758675000.0,365614000.0
