Date,Firm,To Grade,From Grade,Action
2012-07-09,JP Morgan,Neutral,,main
2012-07-12,UBS,Neutral,,main
2012-09-24,Citigroup,Buy,,init
2012-09-25,Citigroup,,,init
2012-10-18,ISI Group,Hold,,main
2012-12-04,Sandler O'Neill,Hold,Buy,down
2013-01-04,Citigroup,Neutral,Buy,down
2013-01-07,Goldman Sachs,Sell,Neutral,down
2013-01-07,Jefferies,Hold,,main
2013-01-08,JP Morgan,Neutral,,main
2013-01-14,Macquarie,Neutral,Outperform,down
2013-01-17,ISI Group,Neutral,,main
2013-01-17,Jefferies,Hold,,main
2013-01-17,RBC Capital,Sector Perform,Outperform,down
2013-01-17,Nomura,Neutral,,main
2013-02-05,Guggenheim,Neutral,Buy,down
2013-02-08,UBS,Neutral,,main
2013-02-25,JP Morgan,Neutral,,main
2013-03-04,Jefferies,Hold,,main
2013-06-03,Jefferies,Hold,,main
2013-07-02,Jefferies,Hold,,main
2013-07-15,Citigroup,Buy,Neutral,up
2013-07-29,Guggenheim,Buy,Neutral,up
2013-08-06,Jefferies,Hold,,main
2013-12-03,Guggenheim,Buy,,main
2014-03-11,UBS,Buy,Neutral,up
2014-03-27,Bank of America,Neutral,,main
2014-04-23,Citigroup,Buy,,main
2014-05-09,JP Morgan,Neutral,,main
2014-05-23,Deutsche Bank,Hold,,init
2014-06-30,CLSA,Outperform,,up
2014-07-10,JP Morgan,Neutral,,main
2014-07-14,Deutsche Bank,Hold,,main
2014-07-21,Barclays,Overweight,,main
2014-07-21,Deutsche Bank,Hold,,main
2014-07-21,Credit Suisse,Neutral,,main
2014-07-25,JP Morgan,Neutral,,main
2014-09-11,Deutsche Bank,Hold,,main
2014-09-23,Portales Partners,Underperform,Sector Perform,down
2014-09-24,Citigroup,Neutral,,init
2014-10-14,Deutsche Bank,Hold,,main
2014-10-20,Keefe Bruyette & Woods,Market Perform,,main
2014-10-20,Bank of America,Neutral,,main
2014-10-20,Goldman Sachs,Neutral,Sell,up
2014-11-24,JP Morgan,Neutral,,main
2014-12-12,Deutsche Bank,Hold,,main
2014-12-18,Jefferies,Hold,,main
2015-01-05,Jefferies,Buy,,main
2015-01-05,Barclays,Overweight,,main
2015-01-26,Credit Suisse,Neutral,,main
2015-01-26,Keefe Bruyette & Woods,Market Perform,,main
2015-01-26,Deutsche Bank,Hold,,main
2015-01-27,Citigroup,Neutral,,main
2015-03-06,Deutsche Bank,Hold,,main
2015-04-02,Deutsche Bank,Hold,,main
2015-04-23,Keefe Bruyette & Woods,Market Perform,,main
2015-04-23,Deutsche Bank,Hold,,main
2015-04-23,Portales Partners,Sector Perform,Underperform,up
2015-05-08,Deutsche Bank,Hold,,main
