Date,Firm,To Grade,From Grade,Action
2012-06-29,DA Davidson,Neutral,,init
2013-01-08,DA Davidson,Neutral,,main
2013-02-04,KeyBanc,Hold,Buy,down
2017-07-13,HSBC,Buy,,init
2017-07-17,FBR Capital,Market Perform,,init
2017-08-21,Argus,Buy,,init
2017-09-25,Bank of America,Underperform,,init
2017-09-29,Barclays,Overweight,,main
2017-10-02,Susquehanna,Neutral,Positive,down
2017-10-10,Deutsche Bank,Hold,,init
2017-10-19,UBS,Neutral,,init
2017-10-23,Loop Capital,Hold,,main
2017-10-23,Morgan Stanley,Overweight,,main
2017-10-25,Citigroup,Buy,,main
2017-10-26,Barclays,Overweight,,main
2018-01-25,JP Morgan,Neutral,,main
2018-01-25,Morgan Stanley,Overweight,Overweight,main
2018-01-25,Wells Fargo,Outperform,,main
2018-01-25,BMO Capital,Market Perform,,main
2018-01-25,Bank of America,Underperform,Underperform,main
2018-01-26,Barclays,Overweight,Overweight,main
2018-02-01,Goldman Sachs,Neutral,Sell,up
2018-02-13,Citigroup,Buy,Buy,main
2018-02-26,Bank of America,Neutral,Underperform,up
2018-03-08,UBS,Buy,Neutral,up
2018-03-29,Edward Jones,Buy,Hold,up
2018-04-02,Bank of America,Buy,Neutral,up
2018-04-03,PiperJaffray,Overweight,Neutral,up
2018-04-18,Bank of America,Buy,Buy,main
2018-04-23,Credit Suisse,Neutral,Neutral,main
2018-05-10,Bank of America,Neutral,Buy,down
2018-06-25,Citigroup,Buy,Buy,main
2018-07-24,SunTrust Robinson Humphrey,Buy,Hold,up
2018-08-20,B. Riley FBR,Buy,Neutral,up
2018-09-11,Stifel Nicolaus,Buy,,init
2018-09-19,Morgan Stanley,Overweight,,init
2018-10-09,Jefferies,Buy,Hold,up
2018-10-31,Guggenheim,Buy,Neutral,up
2018-10-31,Jefferies,Hold,Buy,down
2018-10-31,Credit Suisse,Neutral,Neutral,main
2018-10-31,Wells Fargo,Outperform,Outperform,main
2018-11-02,Citigroup,Buy,Buy,main
2018-11-05,UBS,Buy,Buy,main
2018-12-19,Credit Suisse,Outperform,Neutral,up
2019-05-01,Wells Fargo,Outperform,Outperform,main
2019-08-01,Credit Suisse,Outperform,,main
2019-09-12,Wells Fargo,Outperform,,main
2019-10-08,Morgan Stanley,Overweight,,main
2019-10-18,Citigroup,Buy,,main
2019-11-15,Susquehanna,Positive,Neutral,up
2019-11-20,Deutsche Bank,Buy,,init
2019-12-04,Bank of America,Buy,,reit
2019-12-12,Stephens & Co.,Overweight,,init
2020-01-09,Wells Fargo,Overweight,,main
2020-01-14,Bernstein,Underperform,,init
2020-01-28,Deutsche Bank,Buy,,main
2020-02-20,Edward Jones,Hold,Buy,down
2020-03-03,UBS,Buy,,main
2020-03-10,JP Morgan,Overweight,Neutral,up
2020-03-13,Citigroup,Buy,,main
2020-03-16,Morgan Stanley,Overweight,,main
2020-03-20,Citigroup,Buy,,main
2020-03-26,Tudor Pickering,Buy,Hold,up
2020-03-27,Piper Sandler,Overweight,,main
2020-03-27,RBC Capital,Outperform,,main
2020-03-30,Wells Fargo,Overweight,,main
2020-03-31,Barclays,Overweight,,main
2020-03-31,Argus Research,Hold,Buy,down
2020-04-06,Bernstein,Outperform,Underperform,up
2020-04-09,UBS,Buy,,main
2020-04-16,Stephens & Co.,Overweight,,main
2020-04-23,JP Morgan,Overweight,,main
2020-04-23,Credit Suisse,Outperform,,main
2020-04-23,Wells Fargo,Overweight,,main
2020-04-23,Barclays,Overweight,,main
2020-04-23,CFRA,Hold,,main
2020-05-14,Barclays,Overweight,,main
2020-05-26,UBS,Buy,,main
2020-05-29,Northland Capital Markets,Market Perform,,init
2020-07-09,Morgan Stanley,Overweight,,main
2020-07-23,Morgan Stanley,Overweight,,main
2020-07-24,ScotiaBank,Sector Perform,,main
2021-01-22,Morgan Stanley,Overweight,,main
2021-01-22,Credit Suisse,Outperform,,main
2021-01-22,BMO Capital,Market Perform,,main
2021-02-01,Piper Sandler,Overweight,,main
2021-04-19,BMO Capital,Outperform,Market Perform,up
2021-04-22,Credit Suisse,Outperform,,main
2021-04-26,Citigroup,Buy,Neutral,up
2021-05-03,Barclays,Overweight,Equal-Weight,up
2021-05-13,Goldman Sachs,Buy,,init
2021-07-09,Morgan Stanley,Overweight,,main
2021-10-11,Morgan Stanley,Overweight,,main
2021-10-21,Wells Fargo,Equal-Weight,,main
2021-10-21,Barclays,Overweight,,main
2021-10-22,Stephens & Co.,Overweight,,main
2022-01-13,JP Morgan,Neutral,Overweight,down
2022-03-18,UBS,Buy,,main
2022-03-31,Wells Fargo,Overweight,Equal-Weight,up
2022-04-11,Morgan Stanley,Overweight,,main
2022-04-21,Susquehanna,Positive,,main
2022-04-21,RBC Capital,Outperform,,main
2022-04-26,HSBC,Buy,Hold,up
2022-04-27,Barclays,Overweight,,main
