,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,8173000000.0,6524000000.0,5787000000.0,5378000000.0
Minority Interest,1200000000.0,2373000000.0,1382000000.0,1166000000.0
Net Income,5901000000.0,4932000000.0,4476000000.0,4305000000.0
Selling General Administrative,2187000000.0,2442000000.0,1705000000.0,1573000000.0
Gross Profit,9818000000.0,8266000000.0,7406000000.0,7205000000.0
Ebit,7484000000.0,5718000000.0,5604000000.0,5582000000.0
Operating Income,7484000000.0,5718000000.0,5604000000.0,5582000000.0
Other Operating Expenses,,,,
Interest Expense,-205000000.0,-205000000.0,-203000000.0,-184000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,1968000000.0,1238000000.0,1261000000.0,1076000000.0
Total Revenue,19374000000.0,16205000000.0,14539000000.0,14198000000.0
Total Operating Expenses,11890000000.0,10487000000.0,8935000000.0,8616000000.0
Cost Of Revenue,9556000000.0,7939000000.0,7133000000.0,6993000000.0
Total Other Income Expense Net,689000000.0,806000000.0,183000000.0,-204000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,6205000000.0,5286000000.0,4526000000.0,4302000000.0
Net Income Applicable To Common Shares,5901000000.0,4932000000.0,4476000000.0,4305000000.0
