Date,Firm,To Grade,From Grade,Action
2012-02-21,UBS,Buy,,main
2012-03-02,Citigroup,Neutral,,main
2012-03-02,Credit Suisse,Neutral,,down
2012-03-16,Deutsche Bank,Hold,,down
2012-03-21,Morgan Stanley,Equal-Weight,,down
2012-04-09,Jefferies,Hold,,main
2012-04-10,Jefferies,Hold,,main
2012-04-19,Goldman Sachs,Neutral,,main
2012-05-18,UBS,Buy,,main
2012-05-21,Sterne Agee,Neutral,,main
2012-05-22,Susquehanna,Positive,,init
2012-05-23,Morgan Stanley,Overweight,,up
2012-05-23,Citigroup,Neutral,,main
2012-06-01,Goldman Sachs,Buy,,up
2012-06-29,Macquarie,Neutral,,down
2012-07-09,Jefferies,Hold,,main
2012-07-19,Bank of America,Buy,,main
2012-07-19,Credit Suisse,Neutral,,main
2012-07-25,RBC Capital,Outperform,,init
2012-08-24,Citigroup,Neutral,,main
2012-10-08,Citigroup,Buy,Neutral,up
2012-10-17,Sterne Agee,Neutral,,main
2012-10-18,Nomura,Buy,,main
2012-12-20,Standpoint Research,Hold,Buy,down
2012-12-20,JP Morgan,Overweight,,init
2013-01-03,Stifel Nicolaus,Buy,,main
2013-01-09,Jefferies,Hold,,main
2013-01-17,Citigroup,Buy,,main
2013-01-18,Goldman Sachs,Buy,,main
2013-01-18,Nomura,Buy,,main
2013-01-18,Jefferies,Hold,,main
2013-01-18,Credit Suisse,Neutral,,main
2013-03-05,BMO Capital,Outperform,,main
2013-03-13,Citigroup,Buy,,main
2013-03-25,Nomura,Buy,,main
2013-04-04,UBS,Buy,,main
2013-04-05,Jefferies,Hold,,main
2013-04-05,Jefferies,Hold,,main
2013-04-17,JP Morgan,Overweight,,main
2013-05-09,Citigroup,Neutral,Buy,down
2013-05-16,Gabelli & Co.,Hold,Buy,down
2013-05-20,Keefe Bruyette & Woods,Market Perform,Outperform,down
2013-05-21,Macquarie,Outperform,Neutral,up
2013-05-30,Susquehanna,Neutral,Positive,down
2013-06-20,Stifel Nicolaus,Buy,,main
2013-07-10,Evercore Partners,Overweight,,init
2013-09-11,UBS,Neutral,Buy,down
2014-02-05,Susquehanna,Positive,Neutral,up
2014-04-04,"Keefe, Bruyette & Woods",Outperform,Market Perform,up
2014-04-15,JP Morgan,Overweight,,main
2014-04-21,Citigroup,Neutral,,main
2014-04-22,JP Morgan,Overweight,,main
2014-05-16,Deutsche Bank,Buy,,init
2014-06-18,Citigroup,Neutral,,main
2014-07-01,JP Morgan,Overweight,,main
2014-07-14,Deutsche Bank,Buy,,main
2014-07-17,UBS,Neutral,,main
2014-07-17,JP Morgan,Overweight,,main
2014-07-17,Deutsche Bank,Buy,,main
2014-09-11,Deutsche Bank,Buy,,main
2014-10-01,JP Morgan,Overweight,,main
2014-10-08,Keefe Bruyette & Woods,Outperform,,main
2014-10-08,Citigroup,Neutral,,main
2014-10-14,Deutsche Bank,Buy,,main
2014-10-14,Bank of America,Buy,,main
2014-10-16,Keefe Bruyette & Woods,Outperform,,main
2014-11-03,Citigroup,Buy,Neutral,up
2014-11-21,Bernstein,Outperform,Market Perform,up
2014-12-04,Barclays,Equal-Weight,,init
2014-12-08,Susquehanna,Neutral,Positive,down
2014-12-09,Keefe Bruyette & Woods,Market Perform,,main
2014-12-12,Deutsche Bank,Buy,,main
2015-01-13,Barclays,Equal-Weight,,main
2015-01-14,Goldman Sachs,Buy,Neutral,up
2015-01-16,Deutsche Bank,Buy,,main
2015-01-16,Barclays,Equal-Weight,,main
2015-02-20,Barclays,Equal-Weight,,main
2015-03-02,Citigroup,Neutral,Buy,down
2015-03-05,Keefe Bruyette & Woods,Outperform,,main
2015-03-06,Deutsche Bank,Buy,,main
2015-04-02,Deutsche Bank,Buy,,main
2015-04-08,Keefe Bruyette & Woods,Outperform,,main
2015-04-10,Barclays,Equal-Weight,,main
2015-04-13,Deutsche Bank,Buy,,main
2015-04-17,Keefe Bruyette & Woods,Outperform,,main
2015-04-17,Barclays,Equal-Weight,,main
2015-05-08,Barclays,Equal-Weight,,main
2015-06-03,PiperJaffray,Neutral,,init
2015-06-08,Goldman Sachs,Buy,,init
2015-07-09,Susquehanna,Neutral,,main
2015-07-10,Barclays,Equal-Weight,,main
2015-07-15,Citigroup,Neutral,,main
