,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,9531000000.0,9237000000.0,6066000000.0,6253000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,8098000000.0,-6871000000.0,4975000000.0,5968000000.0
Minority Interest,60000000.0,60000000.0,100000000.0,96000000.0
Net Income,6994000000.0,-9015000000.0,3439000000.0,4920000000.0
Selling General Administrative,7672000000.0,7369000000.0,4969000000.0,4523000000.0
Gross Profit,37048000000.0,34045000000.0,18247000000.0,16151000000.0
Ebit,9822000000.0,7751000000.0,6077000000.0,5278000000.0
Operating Income,9822000000.0,7751000000.0,6077000000.0,5278000000.0
Other Operating Expenses,,,,
Interest Expense,-1292000000.0,-1381000000.0,-898000000.0,-152000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,1084000000.0,2124000000.0,1515000000.0,1021000000.0
Total Revenue,46385000000.0,42518000000.0,26145000000.0,22561000000.0
Total Operating Expenses,36563000000.0,34767000000.0,20068000000.0,17283000000.0
Cost Of Revenue,9337000000.0,8473000000.0,7898000000.0,6410000000.0
Total Other Income Expense Net,-1724000000.0,-14622000000.0,-1102000000.0,690000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,7014000000.0,-8995000000.0,3460000000.0,4947000000.0
Net Income Applicable To Common Shares,6994000000.0,-9015000000.0,3439000000.0,4920000000.0
