,2021-06-30,2020-06-30,2019-06-30,2018-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,696200000.0,579500000.0,607300000.0,561000000.0
Minority Interest,,,,
Net Income,547500000.0,462500000.0,482100000.0,427900000.0
Selling General Administrative,744300000.0,639000000.0,577500000.0,564500000.0
Gross Profit,1422900000.0,1263900000.0,1230300000.0,1162500000.0
Ebit,678600000.0,624900000.0,652800000.0,598000000.0
Operating Income,678600000.0,624900000.0,652800000.0,598000000.0
Other Operating Expenses,,,,
Interest Expense,-57500000.0,-62500000.0,-45900000.0,-42400000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,148700000.0,117000000.0,125200000.0,133100000.0
Total Revenue,4993700000.0,4529000000.0,4362200000.0,4329900000.0
Total Operating Expenses,4315100000.0,3904100000.0,3709400000.0,3731900000.0
Cost Of Revenue,3570800000.0,3265100000.0,3131900000.0,3167400000.0
Total Other Income Expense Net,17600000.0,-45400000.0,-45500000.0,-37000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,547500000.0,462500000.0,482100000.0,427900000.0
Net Income Applicable To Common Shares,547500000.0,462500000.0,482100000.0,427900000.0
