Date,Firm,To Grade,From Grade,Action
2012-02-15,UBS,Neutral,,main
2012-02-15,Gabelli & Co.,Hold,,down
2012-03-07,Guggenheim,Neutral,,main
2012-03-27,Morgan Stanley,Overweight,,main
2012-04-27,Jefferies,Hold,,main
2012-04-27,UBS,Neutral,,main
2012-05-23,UBS,Neutral,,main
2012-06-07,Deutsche Bank,Hold,,main
2012-06-25,Barclays,Overweight,,main
2012-07-09,Jefferies,Hold,,main
2012-07-16,UBS,Neutral,,main
2012-07-18,JP Morgan,Overweight,,init
2012-07-26,Bank of America,Buy,,main
2012-07-27,Jefferies,Hold,,main
2012-07-27,Gabelli & Co.,Buy,Hold,up
2012-07-27,Deutsche Bank,Hold,,main
2012-07-31,Sterne Agee,Buy,,main
2012-09-20,Gabelli & Co.,Hold,Buy,down
2012-10-09,Deutsche Bank,Hold,,main
2012-10-12,Citigroup,Buy,Neutral,up
2012-11-01,UBS,Neutral,,main
2012-11-01,Barclays,Overweight,,main
2012-11-01,Deutsche Bank,Hold,,main
2012-11-01,Jefferies,Hold,,main
2012-11-07,Deutsche Bank,Hold,,main
2012-11-07,JP Morgan,Overweight,,main
2012-11-08,Barclays,Overweight,,main
2013-01-23,Deutsche Bank,Hold,,main
2013-01-28,KeyBanc,Buy,Hold,up
2013-01-28,KeyBanc,Buy,Hold,up
2013-01-28,Sterne Agee,Neutral,Buy,down
2013-02-15,Barclays,Overweight,,main
2013-02-15,Deutsche Bank,Hold,,main
2013-02-15,Jefferies,Hold,,main
2013-03-25,Citigroup,Buy,,main
2013-04-23,Jefferies,Hold,,main
2013-07-17,Baird,Outperform,Neutral,up
2013-08-28,JP Morgan,Overweight,,main
2013-10-28,Deutsche Bank,Hold,,main
2013-10-31,Deutsche Bank,Hold,,main
2013-10-31,Jefferies,Hold,,main
2014-02-14,Gabelli & Co.,Buy,Hold,up
2014-03-26,Deutsche Bank,Hold,,main
2014-04-09,Citigroup,Buy,,main
2014-04-10,Barclays,Overweight,,main
2014-04-22,JP Morgan,Neutral,,main
2014-05-12,Morgan Stanley,Overweight,,main
2014-07-14,Barclays,Overweight,,main
2014-07-17,KeyBanc,Buy,,main
2014-07-22,JP Morgan,Overweight,,main
2014-08-01,Gabelli & Co.,Hold,Buy,down
2014-08-13,Credit Suisse,Neutral,,init
2014-09-22,JP Morgan,Overweight,,main
2014-10-14,Goldman Sachs,Buy,Neutral,up
2014-10-14,Gabelli & Co.,Buy,Hold,up
2014-10-15,Citigroup,Buy,,main
2014-10-15,Sterne Agee,Buy,Neutral,up
2014-10-17,Deutsche Bank,Buy,Hold,up
2014-10-21,Susquehanna,Positive,,init
2014-10-31,Credit Suisse,Neutral,,main
2014-10-31,Citigroup,Buy,,main
2014-10-31,Barclays,Overweight,,main
2014-10-31,Deutsche Bank,Buy,,main
2014-11-03,Barclays,Overweight,,main
2014-11-03,KeyBanc,Buy,,main
2014-11-11,JP Morgan,Overweight,,main
2015-01-09,Citigroup,Buy,,main
2015-01-26,JP Morgan,Overweight,,main
2015-01-28,Deutsche Bank,Buy,,main
2015-02-13,Barclays,Outperform,,main
2015-02-13,Goldman Sachs,Neutral,Buy,down
2015-02-17,Citigroup,Buy,,main
2015-03-11,Deutsche Bank,Hold,,main
2015-04-22,Susquehanna,Positive,,main
2015-05-05,Susquehanna,Positive,,main
2015-05-12,Evercore ISI Group,Buy,,init
2015-07-08,Northcoast Research,Buy,,init
2015-07-10,Citigroup,Buy,,main
2015-07-16,Barclays,Equal-Weight,Overweight,down
2015-07-17,Susquehanna,Positive,,main
2015-07-31,Barclays,Equal-Weight,,main
2015-07-31,Credit Suisse,Neutral,,main
2015-08-03,Citigroup,Buy,,main
2015-08-18,UBS,Buy,,up
2015-08-27,Susquehanna,Positive,,main
2015-08-28,Baird,Neutral,,down
2015-09-03,Barclays,Equal-Weight,,main
2015-10-19,Morgan Stanley,Underweight,Overweight,down
2015-10-30,RBC Capital,Sector Perform,Outperform,down
2015-11-02,Barclays,Equal-Weight,,main
2015-11-18,Goldman Sachs,Buy,Neutral,up
2016-01-14,CLSA,Underperform,Outperform,down
2016-01-25,Deutsche Bank,Hold,,main
2016-01-25,Barclays,Equal-Weight,,main
2016-01-27,Baird,Outperform,Neutral,up
2016-02-16,Sterne Agee CRT,Neutral,Buy,down
2016-03-29,Citigroup,Neutral,Buy,down
2016-06-21,Bank of America,Neutral,Buy,down
2016-08-09,Seaport Global,Neutral,,init
2016-10-06,Goldman Sachs,Neutral,Buy,down
2016-11-09,Bank of America,Underperform,Neutral,down
2016-11-22,Berenberg,Sell,,init
2016-11-30,Jefferies,Buy,,init
2016-12-19,Wells Fargo,Market Perform,Outperform,down
2016-12-21,BMO Capital,Outperform,,init
2017-01-04,Evercore ISI Group,Hold,Buy,down
2017-03-22,Deutsche Bank,Buy,Hold,up
2017-06-21,Guggenheim,Neutral,Neutral,init
2017-07-28,BMO Capital,Outperform,,main
2017-08-08,Deutsche Bank,Buy,,main
2017-10-12,Deutsche Bank,Hold,Buy,down
2017-10-13,KeyBanc,Buy,,main
2017-10-19,Buckingham,Neutral,,main
2017-10-19,UBS,Buy,,main
2017-10-20,Barclays,Equal-Weight,,main
2017-10-30,BMO Capital,Outperform,,main
2017-10-30,Citigroup,Neutral,,main
2017-10-31,Citigroup,Neutral,,main
2017-12-07,Oppenheimer,Outperform,,init
2018-02-09,Wells Fargo,Market Perform,Market Perform,main
2018-02-09,RBC Capital,Outperform,Sector Perform,up
2018-03-22,Morgan Stanley,Overweight,Underweight,up
2018-04-16,Cowen & Co.,Outperform,,init
2018-05-22,Citigroup,Neutral,Neutral,main
2018-06-25,Goldman Sachs,Buy,Neutral,up
2018-07-18,Wells Fargo,Outperform,Market Perform,up
2018-07-30,Citigroup,Neutral,Neutral,main
2018-10-03,Buckingham,Neutral,Neutral,main
2018-10-12,Citigroup,Neutral,Neutral,main
2018-10-23,Bank of America,Neutral,Underperform,up
2018-11-14,Morgan Stanley,Overweight,Overweight,main
2018-12-04,Jefferies,Buy,,init
2018-12-11,KeyBanc,Sector Weight,,init
2019-02-13,Seaport Global,Neutral,,init
2019-05-30,Barclays,Overweight,Equal-Weight,up
2019-06-27,Credit Suisse,Outperform,,init
2019-06-28,Morgan Stanley,Overweight,,main
2019-07-26,RBC Capital,Sector Perform,Outperform,down
2019-07-26,Credit Suisse,Outperform,,main
2019-07-30,Citigroup,Neutral,,main
2019-08-27,Nomura,Buy,,init
2019-09-12,UBS,Buy,,main
2019-10-16,Guggenheim,Neutral,,init
2019-11-01,Credit Suisse,Outperform,,main
2019-11-21,Morgan Stanley,Overweight,,main
2019-11-22,Wolfe Research,Peer Perform,Outperform,down
2020-01-27,Credit Suisse,Neutral,Outperform,down
2020-01-29,B of A Securities,Buy,Neutral,up
2020-01-30,Morgan Stanley,Overweight,,main
2020-02-18,Baird,Outperform,,main
2020-03-03,Citigroup,Neutral,,main
2020-03-16,Morgan Stanley,Overweight,,main
2020-03-24,Citigroup,Neutral,,main
2020-03-30,Morgan Stanley,Equal-Weight,Overweight,down
2020-03-31,CFRA,Buy,Hold,up
2020-04-09,Oppenheimer,Outperform,,main
2020-04-13,KeyBanc,Overweight,Sector Weight,up
2020-05-07,Oppenheimer,Outperform,,main
2020-05-07,Barclays,Overweight,,main
2020-05-18,Morgan Stanley,Equal-Weight,,main
2020-07-07,KeyBanc,Overweight,,main
2020-07-24,Barclays,Overweight,,main
2020-08-06,Morgan Stanley,Equal-Weight,,main
2020-08-10,Citigroup,Neutral,,main
2020-09-03,KeyBanc,Overweight,,main
2020-10-09,KeyBanc,Overweight,,main
2020-10-22,Barclays,Equal-Weight,Overweight,down
2020-11-09,Morgan Stanley,Underweight,Equal-Weight,down
2020-11-17,B of A Securities,Buy,,main
2021-02-16,Credit Suisse,Neutral,,main
2021-02-18,Morgan Stanley,Underweight,,main
2021-03-24,KeyBanc,Overweight,,main
2021-03-24,RBC Capital,Sector Perform,,main
2021-03-26,Wells Fargo,Overweight,,init
2021-04-21,Keybanc,Overweight,,main
2021-05-13,Morgan Stanley,Underweight,,main
2021-08-06,Barclays,Equal-Weight,,main
2021-09-10,Wells Fargo,Overweight,,main
2021-09-20,Jefferies,Hold,Buy,down
2021-10-05,Wells Fargo,Overweight,,main
2021-10-11,Barclays,Equal-Weight,,main
2021-11-04,Barclays,Equal-Weight,,main
2021-11-04,RBC Capital,Sector Perform,,main
2021-12-16,Barclays,Equal-Weight,,main
2022-02-16,Deutsche Bank,Hold,,main
2022-02-28,Morgan Stanley,Underweight,,main
2022-03-22,Goldman Sachs,Neutral,,main
2022-04-01,Wells Fargo,Overweight,,main
2022-04-07,Barclays,Equal-Weight,,main
2022-04-11,Exane BNP Paribas,Neutral,,init
2022-04-21,Deutsche Bank,Hold,,main
2022-05-05,Credit Suisse,Neutral,,main
2022-05-05,Wells Fargo,Overweight,,main
