,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,27469000000.0,13632000000.0,23901000000.0,23445000000.0
Minority Interest,700000000.0,758000000.0,704000000.0,854000000.0
Net Income,21952000000.0,11047000000.0,19401000000.0,18045000000.0
Selling General Administrative,36766000000.0,33147000000.0,32354000000.0,32216000000.0
Gross Profit,74990000000.0,59572000000.0,66849000000.0,65500000000.0
Ebit,0.0,0.0,0.0,0.0
Operating Income,27469000000.0,13632000000.0,23901000000.0,23445000000.0
Other Operating Expenses,10755000000.0,12793000000.0,10594000000.0,9839000000.0
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,5451000000.0,2525000000.0,4430000000.0,5357000000.0
Total Revenue,74990000000.0,59572000000.0,66849000000.0,65500000000.0
Total Operating Expenses,47521000000.0,45940000000.0,42948000000.0,42055000000.0
Cost Of Revenue,0.0,0.0,0.0,0.0
Total Other Income Expense Net,0.0,0.0,0.0,0.0
Discontinued Operations,7000000.0,-20000000.0,-4000000.0,-8000000.0
Net Income From Continuing Ops,22018000000.0,11107000000.0,19471000000.0,18088000000.0
Net Income Applicable To Common Shares,20758000000.0,9879000000.0,18171000000.0,16671000000.0
