Date,Firm,To Grade,From Grade,Action
2020-09-15,Morgan Stanley,Overweight,,main
2021-04-09,Jefferies,Buy,,main
2021-04-13,Morgan Stanley,Overweight,,main
2021-04-16,Argus Research,Buy,,main
2022-01-18,Morgan Stanley,Equal-Weight,,main
2022-01-24,Credit Suisse,Outperform,,main
2022-02-15,Wells Fargo,Overweight,,main
2022-03-03,Atlantic Equities,Neutral,Overweight,down
2022-03-03,BMO Capital,Outperform,,main
2022-03-07,Jefferies,Hold,Buy,down
2022-03-07,Credit Suisse,Outperform,,main
2022-03-14,Wells Fargo,Overweight,,main
2022-03-28,Morgan Stanley,Underweight,Equal-Weight,down
2022-04-05,Piper Sandler,Overweight,,main
2022-04-06,Barclays,Equal-Weight,,main
2022-04-18,BMO Capital,Outperform,,main
