Date,Firm,To Grade,From Grade,Action
2012-07-25,KeyBanc,Buy,,init
2012-09-14,Deutsche Bank,Hold,,main
2012-09-20,Deutsche Bank,Hold,,main
2012-09-20,Goldman Sachs,Neutral,,main
2012-09-21,Citigroup,Buy,,main
2012-09-21,Jefferies,Hold,,main
2012-09-21,UBS,Buy,Neutral,up
2012-09-24,Bank of America,Buy,,main
2012-11-27,JP Morgan,Overweight,,main
2012-11-30,Jefferies,Buy,Hold,up
2012-12-13,Edward Jones,Buy,Hold,up
2013-01-24,UBS,Buy,,main
2013-01-31,Jefferies,Buy,,main
2013-02-19,Citigroup,Buy,,main
2013-02-20,Deutsche Bank,Hold,,main
2013-03-05,Deutsche Bank,Hold,,main
2013-04-03,Deutsche Bank,Hold,,main
2013-04-12,Jefferies,Buy,,main
2013-04-22,JP Morgan,Overweight,,main
2013-06-28,JP Morgan,Overweight,,main
2013-09-11,Goldman Sachs,Buy,Neutral,up
2013-09-17,JP Morgan,Neutral,Overweight,down
2013-11-20,JP Morgan,Neutral,,main
2013-11-25,RBC Capital,Sector Perform,,init
2013-12-19,S&P Capital IQ,Buy,Strong Buy,down
2013-12-20,Deutsche Bank,Hold,,main
2014-03-21,Goldman Sachs,Neutral,Buy,down
2014-04-03,Morgan Stanley,Equal-Weight,,init
2014-04-28,JP Morgan,Neutral,,main
2014-06-02,Deutsche Bank,Hold,,main
2014-06-18,KeyBanc,Hold,Buy,down
2014-06-19,Citigroup,Buy,,main
2014-06-19,Bank of America,Underperform,Buy,down
2014-06-23,JP Morgan,Neutral,,main
2014-09-19,Deutsche Bank,Hold,,main
2014-09-19,Citigroup,Buy,,main
2015-01-12,Citigroup,Neutral,Buy,down
2015-02-13,JP Morgan,Neutral,,main
2015-02-13,Citigroup,Neutral,,main
2015-06-01,Deutsche Bank,Hold,,main
2015-06-19,Deutsche Bank,Hold,,main
2015-06-19,Credit Suisse,Neutral,,main
2015-06-22,JP Morgan,Overweight,Neutral,up
2015-06-30,Bank of America,Neutral,,up
2015-07-01,Bank of America,Neutral,Underperform,up
2015-07-01,Citigroup,Neutral,,main
2015-07-02,Citigroup,Neutral,,main
2015-07-02,Morgan Stanley,Overweight,Equal-Weight,up
2015-12-15,Jefferies,Buy,,init
2015-12-16,Deutsche Bank,Hold,,main
2015-12-23,Credit Suisse,Neutral,,main
2016-02-12,Bank of America,Buy,Neutral,up
2016-02-25,Goldman Sachs,Neutral,,init
2016-04-06,JP Morgan,Overweight,,main
2016-04-08,Jefferies,Buy,,main
2016-04-08,Deutsche Bank,Hold,,main
2016-04-08,Citigroup,Neutral,,main
2016-07-27,Jefferies,Buy,,main
2016-09-23,Deutsche Bank,Hold,,main
2016-09-30,Citigroup,Neutral,,main
2016-10-14,RBC Capital,Outperform,Sector Perform,up
2016-11-14,UBS,Neutral,,init
2016-11-30,Jefferies,Buy,,main
2017-02-15,Deutsche Bank,Buy,,init
2017-03-21,Bernstein,Underperform,Market Perform,down
2017-04-25,UBS,Sell,,down
2017-06-30,UBS,Sell,,main
2017-09-25,Morgan Stanley,Overweight,,main
2017-09-25,Credit Suisse,Neutral,,main
2017-10-30,Stifel Nicolaus,Buy,Hold,up
2017-12-12,UBS,Neutral,Sell,up
2018-03-23,JP Morgan,Overweight,Overweight,main
2018-03-23,UBS,Neutral,Neutral,main
2018-06-28,Citigroup,Buy,Buy,main
2018-07-27,JP Morgan,Overweight,Overweight,main
2018-08-21,Stephens & Co.,Overweight,,init
2018-10-08,UBS,Buy,Neutral,up
2018-11-14,Bernstein,Underperform,Market Perform,down
2018-12-21,Credit Suisse,Neutral,Neutral,main
2019-04-11,Credit Suisse,Neutral,Neutral,main
2019-05-14,SunTrust Robinson Humphrey,Buy,,init
2019-06-12,Evercore ISI Group,Outperform,,init
2019-06-28,Citigroup,Buy,,main
2019-09-06,Goldman Sachs,Neutral,Buy,down
2019-09-27,Citigroup,Buy,,main
2019-10-17,RBC Capital,Sector Perform,,init
2019-11-14,Berenberg,Hold,,init
2019-11-15,Berenberg,Hold,,init
2019-12-20,UBS,Buy,,main
2019-12-20,Deutsche Bank,Hold,,main
2019-12-20,Evercore ISI Group,Outperform,,main
2019-12-20,Morgan Stanley,Equal-Weight,,main
2019-12-20,JP Morgan,Overweight,,main
2020-01-23,Jefferies,Hold,,init
2020-02-26,JP Morgan,Overweight,,main
2020-03-12,CFRA,Strong Buy,Buy,up
2020-03-31,CFRA,Strong Buy,,reit
2020-04-01,Morgan Stanley,Equal-Weight,,main
2020-05-11,SunTrust Robinson Humphrey,Hold,Buy,down
2020-05-15,Credit Suisse,Neutral,,main
2020-06-08,Morgan Stanley,Equal-Weight,,main
2020-06-22,Jefferies,Buy,Hold,up
2020-07-01,Credit Suisse,Neutral,,main
2020-07-01,Morgan Stanley,Equal-Weight,,main
2020-10-02,Morgan Stanley,Equal-Weight,,main
2021-01-05,Credit Suisse,Underperform,Neutral,down
2021-01-08,Credit Suisse,Underperform,,main
2021-03-23,Credit Suisse,Underperform,,main
2021-04-21,Citigroup,Neutral,,init
2021-07-14,Morgan Stanley,Equal-Weight,,main
2021-07-14,B of A Securities,Neutral,Buy,down
2021-07-14,Stifel,Hold,Buy,down
2021-09-29,Credit Suisse,Neutral,Underperform,up
2021-10-08,JP Morgan,Neutral,Overweight,down
2022-01-07,Morgan Stanley,Equal-Weight,,main
2022-03-30,UBS,Neutral,,init
