,2021-06-30,2020-06-30,2019-06-30,2018-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,323000000.0,-3772000000.0,1751000000.0,-228000000.0
Minority Interest,3000000.0,3000000.0,2000000.0,12000000.0
Net Income,611000000.0,-3696000000.0,1363000000.0,256000000.0
Selling General Administrative,4533000000.0,4572000000.0,4480000000.0,4596000000.0
Gross Profit,6975000000.0,6868000000.0,6834000000.0,7181000000.0
Ebit,1991000000.0,1772000000.0,1733000000.0,1985000000.0
Operating Income,1991000000.0,1772000000.0,1733000000.0,1985000000.0
Other Operating Expenses,,,,
Interest Expense,-180000000.0,-238000000.0,-294000000.0,-329000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-289000000.0,-79000000.0,386000000.0,-487000000.0
Total Revenue,162467000000.0,152922000000.0,145534000000.0,136809000000.0
Total Operating Expenses,160476000000.0,151150000000.0,143801000000.0,134824000000.0
Cost Of Revenue,155492000000.0,146054000000.0,138700000000.0,129628000000.0
Total Other Income Expense Net,-1668000000.0,-5544000000.0,18000000.0,-2213000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,612000000.0,-3693000000.0,1365000000.0,259000000.0
Net Income Applicable To Common Shares,611000000.0,-3696000000.0,1363000000.0,256000000.0
