Date,Firm,To Grade,From Grade,Action
2012-05-04,UBS,Buy,,main
2012-06-29,Barclays,Overweight,,main
2012-07-12,ISI Group,Market Weight,,init
2012-08-02,JP Morgan,Overweight,,main
2012-08-03,Credit Suisse,Outperform,,main
2012-10-09,ISI Group,Overweight,Market Weight,up
2013-03-19,Morgan Stanley,Overweight,,main
2013-03-19,Bank of America,Buy,,main
2013-03-19,Lazard,Neutral,Buy,down
2013-03-19,Raymond James,Outperform,,main
2013-03-20,UBS,Buy,,main
2013-03-20,ISI Group,Buy,Strong Buy,down
2013-03-20,Goldman Sachs,Neutral,,main
2013-03-20,Credit Suisse,Outperform,,main
2013-03-20,Citigroup,Neutral,Buy,down
2013-05-03,Credit Suisse,Outperform,,main
2013-06-21,William Blair,Outperform,Market Perform,up
2013-08-02,UBS,Buy,,main
2013-10-29,FBR Capital,Outperform,,init
2013-11-06,Sterne Agee,Buy,Neutral,up
2013-11-20,Deutsche Bank,Hold,,init
2013-12-11,Leerink Swann,Outperform,Market Perform,up
2013-12-11,Raymond James,Outperform,,main
2013-12-11,Credit Suisse,Outperform,,main
2014-01-08,JP Morgan,Neutral,Overweight,down
2014-02-18,Citigroup,Neutral,,init
2014-02-19,Credit Suisse,Outperform,,main
2014-03-04,Deutsche Bank,Hold,,main
2014-03-05,Barclays,Overweight,,init
2014-04-03,Bank of America,Buy,,main
2014-05-02,Leerink Swann,Outperform,,main
2014-05-02,Barclays,Overweight,,main
2014-05-05,Credit Suisse,Outperform,,main
2014-08-05,Credit Suisse,Outperform,,main
2014-08-05,Leerink Swann,Outperform,,main
2014-08-05,Barclays,Overweight,,main
2014-10-31,Barclays,Overweight,,main
2014-10-31,FBR Capital,Outperform,,main
2014-10-31,Deutsche Bank,Hold,,main
2014-10-31,Credit Suisse,Outperform,,main
2014-10-31,Citigroup,Neutral,,main
2014-11-03,Barclays,Overweight,,main
2014-12-29,Bank of America,Buy,,main
2015-01-08,Barclays,Overweight,,main
2015-01-08,JP Morgan,Neutral,,main
2015-01-30,Citigroup,Neutral,,main
2015-01-30,Barclays,Overweight,,main
2015-01-30,Deutsche Bank,Hold,,main
2015-02-02,Morgan Stanley,Equal-Weight,Overweight,down
2015-03-03,Argus,Buy,,main
2015-03-03,Deutsche Bank,Hold,,main
2015-03-10,FBR Capital,Outperform,,main
2015-06-08,Deutsche Bank,Hold,,main
2015-07-14,Evercore ISI Group,Hold,Buy,down
2015-11-03,Barclays,Overweight,,main
2015-11-03,Deutsche Bank,Hold,,main
2015-12-17,Goldman Sachs,Buy,Neutral,up
2016-01-06,Raymond James,Market Perform,Outperform,down
2016-02-11,RBC Capital,Outperform,,main
2016-03-07,Goldman Sachs,Buy,,main
2016-03-15,Credit Suisse,Outperform,,init
2016-03-15,Cowen & Co.,Market Perform,Outperform,down
2016-04-18,Avondale Partners,Market Outperform,,init
2016-08-03,Citigroup,Neutral,,main
2016-08-04,Deutsche Bank,Hold,,main
2016-09-16,Goldman Sachs,Neutral,Buy,down
2016-10-06,UBS,Neutral,,init
2016-10-28,Baird,Neutral,Outperform,down
2016-12-21,Leerink Swann,Market Perform,Outperform,down
2017-01-03,Mizuho,Neutral,Buy,down
2017-04-04,Needham,Hold,,init
2017-04-06,Evercore ISI Group,Outperform,,up
2017-04-19,William Blair,Market Perform,Outperform,down
2017-04-28,Tigress Financial,Neutral,,init
2017-05-17,Jefferies,Hold,,init
2017-09-19,RBC Capital,Sector Perform,,init
2017-11-07,Jefferies,Hold,,main
2017-11-15,Argus,Hold,Buy,down
2017-11-20,Morgan Stanley,Underweight,Equal-Weight,down
2017-12-04,Deutsche Bank,Hold,,init
2018-01-05,Evercore ISI Group,In-Line,,init
2018-03-08,Barclays,Equal-Weight,,init
2018-04-02,Argus,Buy,Hold,up
2018-04-16,Barclays,Equal-Weight,Equal-Weight,main
2018-04-24,Leerink Swann,Outperform,Market Perform,up
2018-07-03,Morgan Stanley,Underweight,Underweight,main
2018-07-05,Morgan Stanley,Underweight,Underweight,main
2018-07-16,Argus,Buy,Buy,main
2018-08-07,Baird,Neutral,Neutral,main
2018-11-16,Leerink Swann,Market Perform,Outperform,down
2018-12-03,Morgan Stanley,Underweight,Underweight,main
2019-01-17,UBS,Neutral,,init
2019-04-18,Guggenheim,Neutral,,init
2019-08-20,Guggenheim,Buy,Neutral,up
2019-08-27,Argus,Hold,Buy,down
2019-08-27,Argus Research,Hold,Buy,down
2019-09-06,Morgan Stanley,Underweight,,main
2019-09-12,Deutsche Bank,Hold,,init
2019-11-08,JP Morgan,Neutral,,main
2019-12-16,Guggenheim,Neutral,Buy,down
2020-02-06,CFRA,Hold,,main
2020-02-07,Mizuho,Neutral,,main
2020-02-07,Baird,Outperform,Neutral,up
2020-02-12,Morgan Stanley,Equal-Weight,Underweight,up
2020-03-20,B of A Securities,Buy,Underperform,up
2020-03-27,Morgan Stanley,Equal-Weight,,main
2020-05-11,CFRA,Hold,,main
2020-05-12,Mizuho,Neutral,,main
2020-05-12,Morgan Stanley,Equal-Weight,,main
2020-05-15,UBS,Buy,Neutral,up
2020-06-15,Morgan Stanley,Equal-Weight,,main
2020-07-21,B of A Securities,Buy,,main
2020-08-07,Morgan Stanley,Equal-Weight,,main
2020-08-10,UBS,Buy,,main
2020-09-25,Deutsche Bank,Buy,Hold,up
2020-11-02,Barclays,Overweight,Equal-Weight,up
2020-11-09,Morgan Stanley,Equal-Weight,,main
2021-03-03,Morgan Stanley,Equal-Weight,,main
2021-05-10,Baird,Neutral,Outperform,down
2021-08-05,B of A Securities,Underperform,Buy,down
2021-08-06,Barclays,Overweight,,main
2021-08-06,Deutsche Bank,Hold,Buy,down
2021-11-10,Barclays,Overweight,,main
2021-11-15,Credit Suisse,Neutral,,main
2021-12-17,Morgan Stanley,Equal-Weight,,main
2022-01-11,Barclays,Overweight,,main
2022-02-04,Credit Suisse,Neutral,,main
2022-04-12,Morgan Stanley,Overweight,Equal-Weight,up
2022-05-06,Credit Suisse,Neutral,,main
