,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,503000000.0,419000000.0,401000000.0,400000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,2400000000.0,2855000000.0,2672000000.0,3842000000.0
Minority Interest,327000000.0,326000000.0,333000000.0,352000000.0
Net Income,1664000000.0,1982000000.0,2116000000.0,2734000000.0
Selling General Administrative,2979000000.0,2590000000.0,2517000000.0,2477000000.0
Gross Profit,6008000000.0,5129000000.0,5455000000.0,5605000000.0
Ebit,2568000000.0,2086000000.0,2643000000.0,2866000000.0
Operating Income,2568000000.0,2086000000.0,2643000000.0,2866000000.0
Other Operating Expenses,-42000000.0,34000000.0,-106000000.0,-138000000.0
Interest Expense,-319000000.0,-298000000.0,-298000000.0,-84000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,699000000.0,849000000.0,517000000.0,1073000000.0
Total Revenue,20613000000.0,17456000000.0,18608000000.0,18914000000.0
Total Operating Expenses,18045000000.0,15370000000.0,15965000000.0,16048000000.0
Cost Of Revenue,14605000000.0,12327000000.0,13153000000.0,13309000000.0
Total Other Income Expense Net,-168000000.0,769000000.0,29000000.0,976000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1701000000.0,2006000000.0,2155000000.0,2769000000.0
Net Income Applicable To Common Shares,1664000000.0,1982000000.0,2116000000.0,2734000000.0
