Date,Firm,To Grade,From Grade,Action
2020-09-08,Credit Suisse,Neutral,,init
2020-09-15,KeyBanc,Overweight,,init
2020-09-21,Goldman Sachs,Buy,,init
2020-10-13,Jefferies,Buy,,init
2020-10-13,Morgan Stanley,Equal-Weight,,main
2020-10-16,Stephens & Co.,Overweight,,init
2020-10-30,KeyBanc,Overweight,,main
2020-10-30,Credit Suisse,Neutral,,main
2020-10-30,Morgan Stanley,Equal-Weight,,main
2020-11-18,KeyBanc,Overweight,,main
2021-02-10,Morgan Stanley,Equal-Weight,,main
2021-03-10,Cowen & Co.,Outperform,Market Perform,up
2021-03-29,Morgan Stanley,Overweight,Equal-Weight,up
2021-03-31,RBC Capital,Outperform,Sector Perform,up
2021-04-19,B of A Securities,Buy,,init
2021-04-30,Atlantic Equities,Neutral,Overweight,down
2021-04-30,Morgan Stanley,Overweight,,main
2021-06-07,RBC Capital,Outperform,,main
2021-06-08,Keybanc,Overweight,,main
2021-06-23,Deutsche Bank,Buy,,init
2021-07-22,Baird,Neutral,,init
2021-07-30,Keybanc,Overweight,,main
2021-07-30,Credit Suisse,Neutral,,main
2021-07-30,RBC Capital,Outperform,,main
2021-07-30,Morgan Stanley,Overweight,,main
2021-08-12,UBS,Neutral,Buy,down
2021-09-07,Wolfe Research,Peer Perform,Outperform,down
2021-10-04,Barclays,Overweight,,main
2021-10-08,Wells Fargo,Equal-Weight,,init
2021-10-29,Credit Suisse,Neutral,,main
2021-10-29,RBC Capital,Outperform,,main
2021-12-10,Deutsche Bank,Hold,Buy,down
2021-12-17,Mizuho,Neutral,,init
2022-01-03,Vertical Research,Hold,Buy,down
2022-01-04,Barclays,Overweight,,main
2022-01-14,Morgan Stanley,Overweight,,main
2022-02-09,Mizuho,Neutral,,main
2022-02-09,Wells Fargo,Equal-Weight,,main
2022-02-09,Credit Suisse,Neutral,,main
2022-02-23,Deutsche Bank,Hold,,main
2022-03-01,Morgan Stanley,Overweight,,main
2022-04-04,Barclays,Overweight,,main
2022-04-07,Morgan Stanley,Overweight,,main
2022-04-13,Keybanc,Overweight,,main
2022-04-29,Keybanc,Overweight,,main
2022-04-29,RBC Capital,Outperform,,main
2022-04-29,Wells Fargo,Equal-Weight,,main
2022-04-29,Credit Suisse,Neutral,,main
