,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,9816000000.0,4162000000.0,5249000000.0,4657000000.0
Minority Interest,,,,
Net Income,8539000000.0,3533000000.0,4454000000.0,3962000000.0
Selling General Administrative,3221000000.0,3078000000.0,3139000000.0,3000000000.0
Gross Profit,11443000000.0,7110000000.0,8716000000.0,8224000000.0
Ebit,7875000000.0,3659000000.0,5207000000.0,4843000000.0
Operating Income,7875000000.0,3659000000.0,5207000000.0,4843000000.0
Other Operating Expenses,60000000.0,83000000.0,65000000.0,42000000.0
Interest Expense,-492000000.0,-516000000.0,-552000000.0,-641000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,1277000000.0,629000000.0,795000000.0,695000000.0
Total Revenue,40955000000.0,36052000000.0,34230000000.0,32679000000.0
Total Operating Expenses,33080000000.0,32393000000.0,29023000000.0,27836000000.0
Cost Of Revenue,29512000000.0,28942000000.0,25514000000.0,24455000000.0
Total Other Income Expense Net,1941000000.0,503000000.0,42000000.0,-186000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,8539000000.0,3533000000.0,4454000000.0,3962000000.0
Net Income Applicable To Common Shares,8539000000.0,3533000000.0,4454000000.0,3962000000.0
