Date,Firm,To Grade,From Grade,Action
2012-08-01,S&P Capital IQ,Hold,Buy,down
2012-08-07,Barclays,Overweight,,main
2012-10-22,Barclays,Overweight,,main
2014-02-06,Bank of America,Buy,,main
2014-03-06,Goldman Sachs,Buy,,init
2014-03-06,JP Morgan,Overweight,,main
2014-05-06,Barclays,Overweight,,main
2014-06-16,JMP Securities,Market Outperform,,main
2014-07-17,JP Morgan,Overweight,,main
2014-07-21,Barclays,Overweight,,main
2014-07-30,Jefferies,Market Outperform,,main
2014-10-14,JP Morgan,Overweight,,main
2014-12-04,Barclays,Overweight,,main
2014-12-18,JP Morgan,Overweight,,main
2015-01-22,Barclays,Overweight,,main
2015-03-04,JP Morgan,Overweight,,main
2015-04-01,JMP Securities,Market Outperform,,main
2015-08-26,Sterne Agee CRT,Buy,,init
2015-09-03,Barclays,Overweight,,main
2015-10-20,Barclays,Overweight,,main
2016-05-16,Keefe Bruyette & Woods,Market Perform,,init
2016-10-06,Wedbush,Outperform,,init
2017-07-18,Barclays,Overweight,,main
2017-07-26,UBS,Neutral,,init
2017-08-15,Barclays,Overweight,,main
2017-11-06,Bank of America,Buy,,main
2018-01-22,Evercore ISI Group,In-Line,,init
2018-01-24,JMP Securities,Market Perform,Market Outperform,down
2018-01-30,Barclays,Overweight,Overweight,main
2018-02-06,Raymond James,Outperform,,init
2018-03-06,JP Morgan,Overweight,Overweight,main
2018-03-15,Barclays,Overweight,Overweight,main
2018-04-03,Goldman Sachs,Buy,,init
2018-05-10,Raymond James,Strong Buy,Outperform,up
2018-05-14,Barclays,Overweight,Overweight,main
2018-08-30,Barclays,Overweight,Overweight,main
2018-11-02,Bank of America,Buy,Buy,main
2019-01-03,Bank of America,Neutral,Buy,down
2019-07-11,Compass Point,Neutral,,init
2019-08-02,Raymond James,Strong Buy,,main
2019-08-12,UBS,Neutral,,main
2020-01-24,Raymond James,Outperform,Strong Buy,down
2020-02-28,UBS,Neutral,,main
2020-04-09,JP Morgan,Neutral,Overweight,down
2020-05-13,UBS,Neutral,,main
2020-07-29,Raymond James,Outperform,,main
2020-08-11,UBS,Neutral,,main
2020-10-30,Raymond James,Outperform,,main
2020-11-02,UBS,Neutral,,main
2021-01-22,Raymond James,Outperform,,main
2021-04-27,Raymond James,Outperform,,main
2021-04-30,Raymond James,Outperform,,main
2021-06-15,Wolfe Research,Outperform,,init
2021-07-30,Raymond James,Outperform,,main
2021-10-22,Raymond James,Outperform,,main
2021-11-23,"Keefe, Bruyette & Woods",Outperform,Market Perform,up
2022-01-21,Raymond James,Outperform,,main
2022-02-25,Raymond James,Outperform,,main
2022-03-10,Wolfe Research,Outperform,,main
2022-04-26,Raymond James,Outperform,,main
2022-05-06,Raymond James,Outperform,,main
