,2022-01-01,2021-01-02,2019-12-28,2018-12-29
Research Development,1134277000.0,1033732000.0,935938000.0,884816000.0
Effect Of Accounting Charges,,,,
Income Before Tax,768435000.0,632748000.0,478968000.0,376390000.0
Minority Interest,,,,
Net Income,695955000.0,590644000.0,988979000.0,345777000.0
Selling General Administrative,749280000.0,670885000.0,621479000.0,573075000.0
Gross Profit,2681238000.0,2377393000.0,2069962000.0,1879275000.0
Ebit,778041000.0,654767000.0,500417000.0,407298000.0
Operating Income,778041000.0,654767000.0,500417000.0,407298000.0
Other Operating Expenses,,,,
Interest Expense,-16980000.0,-20749000.0,-18829000.0,-23139000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,72480000.0,42104000.0,-510011000.0,30613000.0
Total Revenue,2988244000.0,2682891000.0,2336319000.0,2138022000.0
Total Operating Expenses,2210203000.0,2028124000.0,1835902000.0,1730724000.0
Cost Of Revenue,307006000.0,305498000.0,266357000.0,258747000.0
Total Other Income Expense Net,-9606000.0,-22019000.0,-21449000.0,-30908000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,695955000.0,590644000.0,988979000.0,345777000.0
Net Income Applicable To Common Shares,695955000.0,590644000.0,988979000.0,345777000.0
