,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1297800000.0,1002300000.0,949700000.0,840500000.0
Minority Interest,,,,
Net Income,988600000.0,788500000.0,736800000.0,643000000.0
Selling General Administrative,2095200000.0,2026000000.0,1906300000.0,1719600000.0
Gross Profit,3568500000.0,3210100000.0,3039900000.0,2706900000.0
Ebit,1473300000.0,1184100000.0,1133600000.0,987300000.0
Operating Income,1473300000.0,1184100000.0,1133600000.0,987300000.0
Other Operating Expenses,,,,
Interest Expense,-150900000.0,-154900000.0,-159400000.0,-148600000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,309200000.0,213800000.0,212900000.0,197500000.0
Total Revenue,20820800000.0,18467500000.0,18032400000.0,16240500000.0
Total Operating Expenses,19347500000.0,17283400000.0,16898800000.0,15253200000.0
Cost Of Revenue,17252300000.0,15257400000.0,14992500000.0,13533600000.0
Total Other Income Expense Net,-175500000.0,-181800000.0,-183900000.0,-146800000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,988600000.0,788500000.0,736800000.0,643000000.0
Net Income Applicable To Common Shares,988600000.0,788500000.0,736800000.0,643000000.0
