,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,-84000000.0,648000000.0,1733000000.0,335000000.0
Minority Interest,395000000.0,2277000000.0,2346000000.0,2304000000.0
Net Income,-205000000.0,589000000.0,1125000000.0,370000000.0
Selling General Administrative,,,,
Gross Profit,2745000000.0,3275000000.0,3297000000.0,3312000000.0
Ebit,1220000000.0,1625000000.0,1472000000.0,1555000000.0
Operating Income,1220000000.0,1625000000.0,1472000000.0,1555000000.0
Other Operating Expenses,475000000.0,482000000.0,519000000.0,556000000.0
Interest Expense,-297000000.0,-357000000.0,-429000000.0,-432000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-1000000.0,69000000.0,516000000.0,-108000000.0
Total Revenue,19649000000.0,17603000000.0,18924000000.0,20437000000.0
Total Operating Expenses,18429000000.0,15978000000.0,17452000000.0,18882000000.0
Cost Of Revenue,16904000000.0,14328000000.0,15627000000.0,17125000000.0
Total Other Income Expense Net,-1304000000.0,-977000000.0,261000000.0,-1220000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,-83000000.0,579000000.0,1217000000.0,443000000.0
Net Income Applicable To Common Shares,-205000000.0,589000000.0,1125000000.0,370000000.0
