,2021-12-31,2020-12-31,2019-12-28,2018-12-29
Research Development,782274000.0,749007000.0,737136000.0,683663000.0
Effect Of Accounting Charges,,,,
Income Before Tax,699460000.0,991473000.0,654512000.0,800851000.0
Minority Interest,,,,
Net Income,555596000.0,780088000.0,529454000.0,630059000.0
Selling General Administrative,2830872000.0,2866201000.0,3043935000.0,2883165000.0
Gross Profit,4763807000.0,4572847000.0,4621557000.0,4428977000.0
Ebit,1087997000.0,902044000.0,752669000.0,774785000.0
Operating Income,1087997000.0,902044000.0,752669000.0,774785000.0
Other Operating Expenses,,,,
Interest Expense,-43474000.0,-29080000.0,-14469000.0,-7987000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,143864000.0,211385000.0,125058000.0,170792000.0
Total Revenue,5764824000.0,5505788000.0,5692598000.0,5366325000.0
Total Operating Expenses,4676827000.0,4603744000.0,4939929000.0,4591540000.0
Cost Of Revenue,1001017000.0,932941000.0,1071041000.0,937348000.0
Total Other Income Expense Net,-388537000.0,89429000.0,-98157000.0,26066000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,555596000.0,780088000.0,529454000.0,630059000.0
Net Income Applicable To Common Shares,555596000.0,780088000.0,529454000.0,630059000.0
