,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,2977000000.0,1298000000.0,2251000000.0,2183000000.0
Minority Interest,,,,
Net Income,2319000000.0,1057000000.0,1791000000.0,1721000000.0
Selling General Administrative,3781000000.0,3672000000.0,3483000000.0,3253000000.0
Gross Profit,7058000000.0,5289000000.0,6098000000.0,5802000000.0
Ebit,0.0,0.0,0.0,0.0
Operating Income,2977000000.0,1298000000.0,2251000000.0,2183000000.0
Other Operating Expenses,300000000.0,319000000.0,364000000.0,366000000.0
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,658000000.0,241000000.0,460000000.0,462000000.0
Total Revenue,7058000000.0,5289000000.0,6098000000.0,5802000000.0
Total Operating Expenses,4081000000.0,3991000000.0,3847000000.0,3619000000.0
Cost Of Revenue,0.0,0.0,0.0,0.0
Total Other Income Expense Net,0.0,0.0,0.0,-54000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,2319000000.0,1057000000.0,1791000000.0,1721000000.0
Net Income Applicable To Common Shares,2206000000.0,950000000.0,1718000000.0,1692000000.0
