,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1031700000.0,973800000.0,773700000.0,719500000.0
Minority Interest,,,,
Net Income,827500000.0,785900000.0,615900000.0,568600000.0
Selling General Administrative,1282400000.0,1278500000.0,1142600000.0,1056600000.0
Gross Profit,2263500000.0,2214200000.0,1984000000.0,1840800000.0
Ebit,981100000.0,935700000.0,841400000.0,784200000.0
Operating Income,981100000.0,935700000.0,841400000.0,784200000.0
Other Operating Expenses,,,,
Interest Expense,-54500000.0,-61000000.0,-73600000.0,-79400000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,204200000.0,187900000.0,157800000.0,150900000.0
Total Revenue,5190100000.0,4895800000.0,4357700000.0,4145900000.0
Total Operating Expenses,4209000000.0,3960100000.0,3516300000.0,3361700000.0
Cost Of Revenue,2926600000.0,2681600000.0,2373700000.0,2305100000.0
Total Other Income Expense Net,50600000.0,38100000.0,-67700000.0,-64700000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,827500000.0,785900000.0,615900000.0,568600000.0
Net Income Applicable To Common Shares,827500000.0,785900000.0,615900000.0,568600000.0
