Date,Firm,To Grade,From Grade,Action
2012-03-20,Morgan Stanley,Overweight,,main
2012-04-12,Deutsche Bank,Buy,,main
2012-05-15,Argus Research,Buy,,up
2012-07-27,Deutsche Bank,Hold,Buy,down
2012-07-27,UBS,Neutral,,main
2012-07-27,BMO Capital,Market Perform,,main
2012-07-27,Morgan Stanley,Overweight,,main
2012-09-21,Batlivala & Karani,Outperformer,Underperform,up
2013-01-24,Credit Suisse,Outperform,,init
2013-02-14,Canaccord Genuity,Sell,,init
2013-02-25,Tigress Financial,Neutral,,init
2013-02-25,BMO Capital,Market Perform,,main
2013-02-26,Bank of America,Neutral,Buy,down
2013-03-04,Citigroup,Neutral,,main
2013-03-11,UBS,Neutral,,main
2013-03-15,Morgan Stanley,Equal-Weight,Overweight,down
2013-04-15,Deutsche Bank,Hold,,main
2013-04-25,Barclays,Equal-Weight,Underweight,up
2013-07-30,Nomura,Reduce,Neutral,down
2013-08-16,Argus,Hold,Buy,down
2013-09-11,Exane BNP Paribas,Neutral,,init
2013-09-18,Barclays,Overweight,Equal-Weight,up
2013-09-30,Morgan Stanley,Overweight,Equal-Weight,up
2013-10-25,Canaccord Genuity,Hold,Sell,up
2013-11-20,FirstEnergy Capital,Market Perform,,init
2013-11-25,RBC Capital,Outperform,,init
2014-03-04,UBS,Buy,,init
2014-04-28,UBS,Buy,,main
2014-04-28,B. Riley FBR,Neutral,,main
2014-06-10,BMO Capital,Outperform,Market Perform,up
2014-08-01,UBS,Buy,,main
2014-08-01,Barclays,Overweight,,main
2014-09-30,Citigroup,Neutral,,main
2014-12-17,Citigroup,Neutral,,main
2015-01-21,UBS,Neutral,Buy,down
2015-01-30,Citigroup,Neutral,,main
2015-02-23,Citigroup,Buy,Neutral,up
2015-04-20,Goldman Sachs,Sell,Neutral,down
2015-06-10,Societe Generale,Hold,Sell,up
2015-06-11,Morgan Stanley,Equal-Weight,Overweight,down
2015-06-18,Canaccord Genuity,Hold,Sell,up
2015-09-15,Deutsche Bank,Hold,,main
2015-11-02,Deutsche Bank,Hold,,main
2016-01-04,RBC Capital,Sector Perform,Outperform,down
2016-01-06,Atlantic Equities,Overweight,,init
2016-01-15,Exane BNP Paribas,Outperform,Neutral,up
2016-02-01,B. Riley FBR,Neutral,,main
2016-02-26,Sterne Agee CRT,Neutral,Buy,down
2016-03-21,Barclays,Equal-Weight,,main
2016-04-14,Citigroup,Buy,,main
2016-05-02,Goldman Sachs,Neutral,Sell,up
2016-07-20,Deutsche Bank,Hold,,main
2016-07-29,UBS,Neutral,,main
2016-07-29,Citigroup,Buy,,main
2016-07-29,Exane BNP Paribas,Neutral,Outperform,down
2016-09-09,KeyBanc,Sector Weight,,init
2016-09-12,Bank of America,Buy,Neutral,up
2017-01-25,Berenberg,Hold,,init
2017-01-30,Citigroup,Neutral,Buy,down
2017-03-21,JP Morgan,Neutral,,init
2017-04-18,Jefferies,Hold,,init
2017-09-15,Macquarie,Neutral,,init
2017-09-25,Morgan Stanley,Overweight,Equal-Weight,up
2017-10-11,SunTrust Robinson Humphrey,Buy,Hold,up
2017-10-30,Jefferies,Hold,,main
2017-10-31,Morgan Stanley,Overweight,,main
2017-11-02,Citigroup,Neutral,,main
2017-11-29,Societe Generale,Sell,Hold,down
2017-12-14,Deutsche Bank,Hold,,init
2017-12-19,Macquarie,Outperform,Neutral,up
2018-01-30,Citigroup,Neutral,Neutral,main
2018-04-20,Morgan Stanley,Overweight,Overweight,main
2018-05-01,Citigroup,Neutral,Neutral,main
2018-05-25,Argus,Buy,Hold,up
2018-06-21,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-07-19,UBS,Buy,Neutral,up
2018-07-23,Stifel Nicolaus,Hold,Hold,main
2018-07-30,Macquarie,Neutral,Outperform,down
2018-07-31,Citigroup,Neutral,Neutral,main
2018-09-18,Argus,Buy,Buy,main
2018-09-20,Atlantic Equities,Neutral,,init
2018-10-17,Wells Fargo,Market Perform,Market Perform,main
2018-10-29,Wells Fargo,Market Perform,Market Perform,main
2018-10-29,Citigroup,Neutral,Neutral,main
2018-10-29,JP Morgan,Underweight,Neutral,down
2018-10-29,SunTrust Robinson Humphrey,Hold,Buy,down
2018-10-30,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-10-30,Argus,Buy,Buy,main
2019-01-09,Goldman Sachs,Buy,Neutral,up
2019-01-11,Evercore ISI Group,Outperform,,init
2019-02-13,UBS,Neutral,Neutral,main
2019-03-07,Credit Suisse,Underperform,,init
2019-03-29,UBS,Buy,Buy,main
2019-04-29,Macquarie,Neutral,Neutral,main
2019-04-29,Morgan Stanley,Equal-Weight,Equal-Weight,main
2019-04-29,JP Morgan,Neutral,Underweight,up
