Date,Firm,To Grade,From Grade,Action
2012-02-22,Stifel Nicolaus,Sell,,down
2012-03-15,Guggenheim,Buy,,main
2012-03-16,Indaba Global Research,Hold,,init
2012-03-22,Oppenheimer,Outperform,,main
2012-03-30,Deutsche Bank,Hold,,main
2012-04-05,Citigroup,Sell,,down
2012-04-17,Wunderlich,Buy,,main
2012-04-18,BMO Capital,Market Perform,,down
2012-04-18,JP Morgan,Overweight,,main
2012-04-18,Sterne Agee,Buy,,main
2012-06-05,Stifel Nicolaus,Hold,,up
2012-06-07,Citigroup,Sell,,main
2012-07-10,Guggenheim,Neutral,,init
2012-07-17,Wunderlich,Buy,,main
2012-09-14,Stifel Nicolaus,Sell,Hold,down
2012-10-08,JP Morgan,Overweight,,main
2012-10-17,DA Davidson,Buy,,main
2012-10-18,Stifel Nicolaus,Hold,Sell,up
2012-10-18,Jefferies,Hold,,main
2012-10-18,Sterne Agee,Neutral,Buy,down
2012-11-12,Citigroup,Neutral,Sell,up
2012-12-13,Keefe Bruyette & Woods,Underperform,Market Perform,down
2013-01-04,Deutsche Bank,Hold,,main
2013-01-09,Oppenheimer,Perform,Outperform,down
2013-01-10,JP Morgan,Overweight,,main
2013-01-17,Goldman Sachs,Sell,,main
2013-01-17,BMO Capital,Market Perform,,main
2013-01-17,Jefferies,Hold,,main
2013-01-17,Compass Point,Neutral,,main
2013-01-31,Bernstein,Underperform,,down
2013-01-31,Bernstein,Underperform,Market Perform,down
2013-02-04,Hilliard Lyons,Neutral,Long-term Buy,down
2013-02-06,Nomura,Neutral,,init
2013-02-11,Stifel Nicolaus,Sell,Hold,down
2013-02-13,Rafferty,Buy,,init
2013-02-15,Citigroup,Sell,Neutral,down
2013-03-18,Raymond James,Underperform,Market Perform,down
2013-04-10,UBS,Buy,,main
2013-04-17,BMO Capital,Market Perform,,main
2013-05-06,BTIG Research,Neutral,Buy,down
2013-05-08,Baird,Underperform,Neutral,down
2013-05-21,DA Davidson,Neutral,Buy,down
2013-05-22,Oppenheimer,Underperform,Perform,down
2013-05-23,Susquehanna,Negative,Neutral,down
2013-05-29,Wunderlich,Hold,Buy,down
2013-06-18,Wells Fargo,Underperform,Market Perform,down
2013-07-03,Citigroup,Neutral,Sell,up
2013-07-09,JP Morgan,Overweight,,main
2013-07-10,UBS,Neutral,,main
2013-07-16,Hilliard Lyons,Underperform,Neutral,down
2013-07-16,Wunderlich,Hold,,main
2013-07-17,Evercore Partners,Equal-Weight,Overweight,down
